밥,국,메인메뉴
쌀밥/잡곡밥,콩나물국,버섯불고기
단호박영양밥,시래기된장국,돈육칠리강정
쌀밥/잡곡밥,오징어국,찜닭
쌀밥/잡곡밥,된장찌개,매운돼지갈비찜
쌀밥/잡곡밥,감자고추장찌개,돈육굴소스볶음
쌀밥/잡곡밥,들깨버섯탕,고등어김치말이
산채비빔밥,미소장국,치킨핑거
쌀밥/잡곡밥,열무된장국,미니채소떡갈비
쌀밥/잡곡밥,순두부찌개,닭오븐구이
쌀밥/잡곡밥,북어콩나물국,쇠고기불고기
쌀밥/잡곡밥,한방갈비탕,꼬지삼색전
낙지볶음밥,미역장국,탕수어
쌀밥/잡곡밥,쇠고기해장국,갈치구이
쌀밥/잡곡밥,배추된장국,닭양념조림
쌀밥/잡곡밥,콩나물김치국,누룽지탕수육
쌀밥/잡곡밥,근대된장국,닭갈비
열무비빔밥,강된장찌개,오징어튀김
쌀밥/잡곡밥,오이미역냉국,모둠장조림
쌀밥/잡곡밥,차돌박이찌개,찜닭
쌀밥/잡곡밥,북어계란국,돈육굴소스볶음
쌀밥/잡곡밥,참치김치찌개,순살깐풍기
쌀밥/잡곡밥,매운콩나물국,돼지갈비찜
쌀밥/잡곡밥,된장찌개,오징어볶음
쌀밥/잡곡밥,북어콩나물국,제육볶음
쌀밥/잡곡밥,배추된장국,닭양념조림
카레덮밥,맑은국,떡갈비조림
쌀밥/잡곡밥,부대찌개,가자미양념찜
쌀밥/잡곡밥,꽃게탕,돈육강정
쌀밥/잡곡밥,어묵국,레몬탕수육
쌀밥/잡곡밥,대구찌개,간장치킨
쌀밥/잡곡밥,시래기국,돈삼겹보쌈
쌀밥/잡곡밥,쇠고기무국,매콤낙지볶음
쌀밥/잡곡밥,도토리묵냉국,목살데리야끼구이
쌀밥/잡곡밥,배추된장국,훈제오리구이
쌀밥/잡곡밥,육개장,고등어구이
쌀밥/잡곡밥,콩나물국,간장돼지갈비찜
쌀밥/잡곡밥,버섯들깨찌개,닭오븐구이
쌀밥/잡곡밥,수제비국,유자청제육볶음
쌀밥/잡곡밥,감자고추장찌개,버섯불고기
쌀밥/잡곡밥,쇠고기미역국,꽁치김치말이찜
곤드레밥,가쯔오장국,닭강정
쌀밥/잡곡밥,된장찌개,갈치조림
쌀밥/잡곡밥,우무묵냉국,갈릭돈까스
쌀밥/잡곡밥,호박잎찌개,돈육굴소스볶음
쌀밥/잡곡밥,건새우아욱국,순살파닭
나물비빔밥,오이냉국,사천식탕수육
쌀밥/잡곡밥,배추된장국,매운주꾸미볶음
쌀밥/잡곡밥,북어계란국,등갈비김치찜
쌀밥/잡곡밥,순두부찌개,돈육떡강정
쌀밥/잡곡밥,시래기국,목살데리야끼
쌀밥/잡곡밥,사골우거지탕,미트볼조림
쌀밥/잡곡밥,우묵콩국,고추장불고기
참치회덮밥,미소장국,고구마치즈구이
쌀밥/잡곡밥,쇠고기미역국,불닭볶음
쌀밥/잡곡밥,청국장찌개,미니채소떡갈비
쌀밥/잡곡밥,시금치국,동파삼겹수육
쌀밥/잡곡밥,꽃게탕,훈제오리냉채
연복풍덮밥,도토리묵냉국,꽁치오븐구이
쌀밥/잡곡밥,부대찌개*라면사리,갈치구이
열무보리비빔밥,팽이장국,꽃맛살볶음
쌀밥/잡곡밥,버섯들깨탕,레몬탕수육
쌀밥/잡곡밥,복숭아미역냉국,닭데리야끼조림
쌀밥/잡곡밥,된장찌개,매콤돼지갈비찜
쌀밥/잡곡밥,호박잎된장국,유자청제육볶음
쌀밥/잡곡밥,콩나물국,미니함박조림
쌀밥/잡곡밥,사과오이냉국,장어강정
쌀밥/잡곡밥,시래기국,삼겹살오븐구이
불고기덮밥,맑은국,새우까스&탈탈소스
쌀밥/잡곡밥,닭곰탕,고등어조림
쌀밥/잡곡밥,대구매운탕,오징어볶음
쌀밥/잡곡밥,열무된장국,갈릭돈가스
단호박영양밥,도토리묵냉국,소고기숙주볶음
쌀밥/잡곡밥,꽃게탕,고추잡채*꽃빵
쌀밥/잡곡밥,배추된장국,칠리탕수육
쌀밥/잡곡밥,해물된장찌개,닭볶음
쌀밥/잡곡밥,육개장,동태무조림
쌀밥/잡곡밥,떡국,마늘치킨
쌀밥/잡곡밥,순두부찌개,소불고기
쌀밥/잡곡밥,버섯매운탕,갈치구이
낙지비빔밥,가쯔오장국,계란말이
쌀밥/잡곡밥,오징어국,목살데리야끼
쌀밥/잡곡밥,시래기된장국,닭찜
쌀밥/잡곡밥,쇠고기샤브국,오징어볶음
쌀밥/잡곡밥,부대찌개,가자미카레튀김
곤드레밥,두부맑은국,돈육떡강정
쌀밥/잡곡밥,된장찌개,오리고추장볶음
쌀밥/잡곡밥,황태맑은국,유린기
쌀밥/잡곡밥,시래기국,닭볶음
쌀밥/잡곡밥,토란국,매운돼지갈비찜
쌀밥/잡곡밥,어묵국,오리훈제고추장볶음
쌀밥/잡곡밥,얼갈이된장국,레몬탕수육
열무비빔밥,팽이장국,너비아니구이
쌀밥/잡곡밥,쇠고기무국,임연수찜
쌀밥/잡곡밥,오징어국,소고기숙주볶음
쌀밥/잡곡밥,아욱된장국,유자청돈육볶음
쌀밥/잡곡밥,느타리버섯국,간장파닭
카레덮밥,맑은국,샐러드파스타
쌀밥/잡곡밥,된장찌개,돈육장조림
쌀밥/잡곡밥,우거지해장국,꽁치한마리구이
쌀밥/잡곡밥,배추된장국,버섯불고기
쌀밥/잡곡밥,차돌박이찌개,매운주꾸미볶음
쌀밥/잡곡밥,미역국,한방소갈비찜
쌀밥/잡곡밥,대구매운탕,표고돈육탕수
쌀밥/잡곡밥,쇠고기샤브국,오징어볶음
쌀밥/잡곡밥,시금치된장국,목살스테이크
산채비빔밥*강된장,팽이버섯국,생선커틀릿
쌀밥/잡곡밥,떡국,마늘치킨
쌀밥/잡곡밥,건새우무국,등갈비김치찜
쌀밥/잡곡밥,미역국,소불고기
쌀밥/잡곡밥,꽃게탕,미트볼칠리조림
쌀밥/잡곡밥,참치김치찌개,유린기
쌀밥/잡곡밥,돈신탕(해장탕),꽁치김치말이
짜장밥,계란국,사천식탕수육
쌀밥/잡곡밥,된장찌개,제육볶음
쌀밥/잡곡밥,육개장,갈치구이
곤드레밥,배추된장국,데리야끼파닭
쌀밥/잡곡밥,동태찌개,돈육장조림
쌀밥/잡곡밥,버섯들깨탕,고등어조림
쌀밥/잡곡밥,근대된장국,쇠고기숙주볶음
쌀밥/잡곡밥,알탕,닭갈비
콩나물밥,가쯔오장국,훈제오리/무쌈
쌀밥/잡곡밥,쇠고기무국,쭈꾸미볶음
쌀밥/잡곡밥,사골우거지탕,명태엿장조림
쌀밥/잡곡밥,오징어국,유자청제육볶음
쌀밥/잡곡밥,차돌박이찌개,순살양념치킨
단호박영양밥,꽃게탕,고추잡채*꽃빵
쌀밥/잡곡밥,김치콩나물국,쇠고기장조림
쌀밥/잡곡밥,아욱된장국,칠리탕수육
쌀밥/잡곡밥,어묵국,소고기버섯볶음
쌀밥/잡곡밥,김치국,닭데리야끼조림
버섯영양밥,조랭이떡미역국,유산슬
쌀밥/잡곡밥,설렁탕,해물김치전
쌀밥/잡곡밥,콩비지찌개,순살깐풍기
쌀밥/잡곡밥,시래기된장국,누룽지탕수육
쌀밥/잡곡밥,대구매운탕,쇠고기숙주볶음
쌀밥/잡곡밥,순두부탕,파닭
쌀밥/잡곡밥,수제비국,짬뽕불고기
카레덮밥,맑은국,통감자오븐구이
쌀밥/잡곡밥,쇠고기느타리국,오징어볶음
쌀밥/잡곡밥,근대국,제육볶음
나물비빔밥,가쯔오장국,치킨핑거*요거트D
쌀밥/잡곡밥,콩나물국,모둠장조림
쌀밥/잡곡밥,떡국,양념찜닭
쌀밥/잡곡밥,순두부찌개,훈제오리구이
쌀밥/잡곡밥,홍합탕,삼겹살오븐구이
짜장밥,유부장국,해물누룽지탕
쌀밥/잡곡밥,아욱국,양념돼지갈비찜
쌀밥/잡곡밥,차돌박이된장찌개,삼치무조림
쌀밥/잡곡밥,콩나물김치국,돈육굴소스볶음
쌀밥/잡곡밥,냉이된장찌개,코다리강정
소불고기덮밥,가쯔오장국,고구마튀김
쌀밥/잡곡밥,콩비지찌개,오리고추장볶음
쌀밥/잡곡밥,쇠고기샤브국,갈치구이
쌀밥/잡곡밥,배추된장국,짬뽕불고기
쌀밥/잡곡밥,콩나물국,고추잡채*꽃빵
쌀밥/잡곡밥,된장찌개,마늘간장치킨
쌀밥/잡곡밥,꽃게탕,쇠고기버섯볶음
쌀밥/잡곡밥,얼갈이국,떡갈비조림
쌀밥/잡곡밥,동태찌개,돈육간장불고기
쌀밥/잡곡밥,열무된장국,닭갈비
콩나물밥,가쯔오장국,미트볼케찹조림
쌀밥/잡곡밥,시래기국,오징어볶음*소면
쌀밥/잡곡밥,순두부찌개,수제돈까스
쌀밥/잡곡밥,사골떡국,쇠고기낙지볶음
쌀밥/잡곡밥,홍합탕,매운동태찜
곤드레밥,황태국,동그랑땡전
쌀밥/잡곡밥,육개장,굴비구이
쌀밥/잡곡밥,된장찌개,레몬탕수육
쌀밥/잡곡밥,콩나물국,동파육
쌀밥/잡곡밥,쇠고기미역국,주꾸미떡볶음
비빔밥,팽이장국,생선까스
쌀밥/잡곡밥,어묵국,매운닭찜
쌀밥/잡곡밥,짬뽕국,미니함박조림
쌀밥/잡곡밥,얼갈이된장국,오징어볶음*소면
쌀밥/잡곡밥,순두부찌개,쇠고기숙주볶음
쌀밥/잡곡밥,아욱국,훈제오리구이
쌀밥/잡곡밥,수제비국,유자청돈육볶음
쌀밥/잡곡밥,닭개장,가자미카레튀김
쌀밥/잡곡밥,냉이콩나물국,닭볶음
쌀밥/잡곡밥,알탕,돈육간장불고기
카레덮밥,맑은국,유린기
쌀밥/잡곡밥,배추된장국,소갈비찜
쌀밥/잡곡밥,미역국,언양식불고기*양파채
쌀밥/잡곡밥,시금치된장국,고추장불고기
쌀밥/잡곡밥,굴김치두부국,스위트칠리미트볼
쌀밥/잡곡밥,콩나물국,소고기낙지볶음
쌀밥/잡곡밥,냉이된장찌개,닭갈비
쌀밥/잡곡밥,대구매운탕,유산슬
콩나물밥,맑은국,닭오븐구이
쌀밥/잡곡밥,배추국,수제돈까스
오곡밥,소고기무국,굴비구이
쌀밥/잡곡밥,쇠고기미역국,제육볶음
쌀밥/잡곡밥,된장찌개,주꾸미볶음
쌀밥/잡곡밥,들깨시래기국,순살파닭
쌀밥/잡곡밥,홍합탕,소불고기
쌀밥/잡곡밥,어묵국,등갈비김치찜
쌀밥/잡곡밥,열무된장국,동파육
쌀밥/잡곡밥,버섯들깨탕,낙지볶음
나물비빔밥,유부장국,생선까스*탈탈소스
쌀밥/잡곡밥,콩나물국,돼지갈비찜
쌀밥/잡곡밥,수제비국,깐풍기
쌀밥/잡곡밥,봄동된장국,훈제오리구이
쌀밥/잡곡밥,사골떡국,언양식불고기
쌀밥/잡곡밥,돈육김치찌개,팝콘치킨*데리마요
카레덮밥,맑은국,미니채소떡갈비
쌀밥/잡곡밥,어묵국,순살닭갈비
쌀밥/잡곡밥,토란탕,돈육칠리강정
곤드레밥*강된장,미소국,오징어볶음
쌀밥/잡곡밥,아욱국,마늘치킨
쌀밥/잡곡밥,얼큰순두부찌개,해물청경채볶음
쌀밥/잡곡밥,오징어국,버섯불고기
쌀밥/잡곡밥,동태찌개,미트볼케찹조림
쌀밥/잡곡밥,근대국,양념찜닭
쌀밥/잡곡밥,옹심이만두국,돈육굴소스볶음
쌀밥/잡곡밥,고추장찌개,치킨커틀렛
쌀밥/잡곡밥,아욱국,콩나물불고기
쌀밥/잡곡밥,냉이된장찌개,쇠고기장조림
쌀밥/잡곡밥,돈육김치찌개,유린기
쌀밥/잡곡밥,콩가루배추국,돼지갈비찜
쌀밥/잡곡밥,대구매운탕,고추잡채*꽃빵
쌀밥/잡곡밥,알탕,소고기숙주볶음
쌀밥/잡곡밥,소고기미역국,주꾸미볶음
봄나물비빔밥,팽이장국,언양식불고기
쌀밥/잡곡밥,북어콩나물국,사천식탕수육
쌀밥/잡곡밥,쇠고기무국(빨갛게),생선커틀렛
쌀밥/잡곡밥,꽃게탕,훈제오리(마늘만)
쌀밥/잡곡밥,된장찌개,쇠불고기
짜장밥,맑은계란국,유산슬
쌀밥/잡곡밥,근대국,마늘치킨
쌀밥/잡곡밥,육개장,미니채소떡갈비
쌀밥/잡곡밥,얼갈이국,쇠고기낙지볶음
쌀밥/잡곡밥,김치찌개,해물누룽지탕
쌀밥/잡곡밥,들깨미역국,삼겹살오븐구이
쌀밥/잡곡밥,황태국,닭데리야끼조림
쌀밥/잡곡밥,쇠고기샤브국,오징어볶음
쌀밥/잡곡밥,된장찌개,돈육굴소스볶음
쌀밥/잡곡밥,들깨시래기국,쇠고기장조림
곤드레밥,맑은국,탕수어
쌀밥/잡곡밥,아욱국,등갈비김치찜
쌀밥/잡곡밥,콩나물김치국,버섯불고기
쌀밥/잡곡밥,부대찌개,언양식불고기
쌀밥/잡곡밥,차돌박이찌개,닭강정
비빔밥,맑은국,오징어튀김
쌀밥/잡곡밥,미역국,매콤함박스테이크
쌀밥/잡곡밥,꽃게찌개,탕수육
쌀밥/잡곡밥,참치김치찌개,훈제오리구이/쌈무
쌀밥/잡곡밥,들깨미역국,닭갈비
쌀밥/잡곡밥,고추장찌개,쇠불고기
쌀밥/잡곡밥,된장찌개,제육볶음
쌀밥/잡곡밥,콩가루배추국,낙지볶음
쌀밥/잡곡밥,옹심이만두떡국,유린기
쌀밥/잡곡밥,콩비지찌개,돈육꽈리고추볶음
쌀밥/잡곡밥,쇠고기샤브국,오징어볶음
쌀밥/잡곡밥,열무된장국,쇠고기장조림
쌀밥/잡곡밥,부대찌개,굴비구이
쌀밥/잡곡밥,새우살미역국,순살양념치킨
쌀밥/잡곡밥,시금치된장국,제육볶음
쌀밥/잡곡밥,소고기국,간장찜닭
콩나물밥,김치국,고등어구이
쌀밥/잡곡밥,들깨시래기국,오리불고기
쌀밥/잡곡밥,콩나물국,주꾸미떡볶음
쌀밥/잡곡밥,황태국,소불고기
쌀밥/잡곡밥,얼갈이된장국,동파삼겹수육
열무보리비빔밥,가쯔오장국,탕수만두
쌀밥/잡곡밥,오이냉국,등갈비김치찜
쌀밥/잡곡밥,돈육김치찌개,삼치된장구이
쌀밥/잡곡밥,근대국,돈육굴소스볶음
쌀밥/잡곡밥,콩나물국,훈제오리구이
쌀밥/잡곡밥,얼갈이된장국,미니채소떡갈비
쌀밥/잡곡밥,호박잎된장찌개,깐풍기
쌀밥/잡곡밥,연두부탕,쇠고기숙주볶음
쌀밥/잡곡밥,도토리묵냉국,쭈꾸미볶음
곤드레밥*강된장,가쯔오장국,치킨핑거
쌀밥/잡곡밥,쇠고기샤브국,갈치구이
쌀밥/잡곡밥,아욱된장국,삼겹살구이
쌀밥/잡곡밥,들깨시래기국,유자청제육볶음
쌀밥/잡곡밥,오이지냉국,고등어김치말이
카레라이스,유부주머니국,언양식불고기
쌀밥/잡곡밥,쇠고기미역국,해물누룽지탕
쌀밥/잡곡밥,나가사끼짬뽕국,닭갈비
쌀밥/잡곡밥,차돌박이찌개,훈제오리고추장볶음
쌀밥/잡곡밥,북어콩나물국,오징어볶음
콩나물밥,얼갈이된장국,삼치구이
쌀밥/잡곡밥,우무묵냉국,갈릭돈까스
쌀밥/잡곡밥,꼬지어묵탕,매운닭찜
쌀밥/잡곡밥,콩나물국,짬뽕불고기
쌀밥/잡곡밥,배추된장국,낙지볶음
짜장덮밥,계란국,유산슬
쌀밥/잡곡밥,아욱된장국,등갈비김치찜
쌀밥/잡곡밥,오이냉국,유린기
쌀밥/잡곡밥,콩나물국,버섯불고기
쌀밥/잡곡밥,어묵국,주꾸미떡볶음
<초복특식>,삼계탕,찹쌀밥
쌀밥/잡곡밥,근대국,돼지갈비찜
쌀밥/잡곡밥,부대찌개,갈치조림
쌀밥/잡곡밥,무채국,돈육고추장볶음
쌀밥/잡곡밥,열무된장국,간장찜닭
김치제육덮밥,맑은국,양장피잡채
쌀밥/잡곡밥,소고기매운무국,오징어굴소스볶음
쌀밥/잡곡밥,닭곰탕,미트볼케찹조림
쌀밥/잡곡밥,어묵탕,콩나물불고기
쌀밥/잡곡밥,된장찌개,가자미카레튀김
나물비빔밥,미소장국,파스타샐러드
쌀밥/잡곡밥,콩나물냉국,순살파닭
쌀밥/잡곡밥,쇠고기샤브국,주꾸미떡볶음
쌀밥/잡곡밥,연두부탕,쇠고기숙주볶음
쌀밥/잡곡밥,부대찌개,해물누룽지탕
쌀밥/잡곡밥,꽃게탕,미니채소떡갈비
쌀밥/잡곡밥,오이미역냉국,닭오븐구이
쌀밥/잡곡밥,콩나물국,제육볶음
쌀밥/잡곡밥,어묵국,쇠고기낙지볶음
쌀밥/잡곡밥,미역국,닭갈비
쌀밥/잡곡밥,도토리묵냉국,수제돈까스
쌀밥/잡곡밥,돈육김치찌개,갈치구이
쌀밥/잡곡밥,고추장찌개,돈육보쌈
쌀밥/잡곡밥,된장찌개,짬뽕불고기
쌀밥/잡곡밥,쇠고기무국,오징어볶음*소면
쌀밥/잡곡밥,들깨시래기국,매운닭찜
짜장밥,맑은국,해물까스*칠리소스
쌀밥/잡곡밥,조랭이떡미역국,소고기불고기
쌀밥/잡곡밥,해물된장찌개,표고버섯탕수육
곤드레밥*강된장,가쯔오장국,가자미양념찜
쌀밥/잡곡밥,쇠고기샤브국,주꾸미굴소스볶음
쌀밥/잡곡밥,알탕,미트볼케찹조림
쌀밥/잡곡밥,콩나물국,돈육간장불고기
쌀밥/잡곡밥,배추된장국,닭갈비
산채비빔밥,미소장국,언양식불고기
쌀밥/잡곡밥,육개장,굴비구이
쌀밥/잡곡밥,시래기국,훈제오리구이
쌀밥/잡곡밥,북어국,버섯불고기
쌀밥/잡곡밥,연두부탕,등갈비김치찜
쌀밥/잡곡밥,꽃게탕,마늘치킨
쌀밥/잡곡밥,쇠고기미역국,오징어볶음*소면
쌀밥/잡곡밥,열무된장국,동파육
쌀밥/잡곡밥,시래기된장국,유자청제육볶음
쌀밥/잡곡밥,차돌박이찌개,해물누룽지탕
카레라이스,미소장국,떡갈비조림
쌀밥/잡곡밥,고사리육개장,닭찜
쌀밥/잡곡밥,참치김치찌개,단호박장조림
쌀밥/잡곡밥,해물순두부찌개,언양식불고기
쌀밥/잡곡밥,들깨버섯국,소고기낙지볶음
콩나물밥,가쯔오국,감자프리타타
쌀밥/잡곡밥,쇠고기샤브국,꽁치구이
쌀밥/잡곡밥,콩가루배추국,순살양념치킨
쌀밥/잡곡밥,근대국,짬뽕불고기
쌀밥/잡곡밥,시래기들깨탕,닭갈비
쌀밥/잡곡밥,콩나물국,삼겹살구이
쌀밥/잡곡밥,차돌박이찌개,매운주꾸미볶음
쌀밥/잡곡밥,미역국,쇠불고기/잡채
쌀밥/잡곡밥,아욱국,훈제오리구이
쌀밥/잡곡밥,고추장찌개,레몬탕수육
쌀밥/잡곡밥,해물된장찌개,닭찜
쌀밥/잡곡밥,쇠고기무국,오징어볶음*소면
쌀밥/잡곡밥,차돌박이찌개,제육볶음
쌀밥/잡곡밥,근대국,고등어조림
쌀밥/잡곡밥,민물새우찌개,수제돈가스
쌀밥/잡곡밥,새알미역국,유린기
쌀밥/잡곡밥,쇠고기매운버섯국,해물청경채볶음
쌀밥/잡곡밥,콩나물국,버섯불고기
쌀밥/잡곡밥,배추된장국,쭈꾸미볶음
곤드레밥*강된장,가쯔오장국,갈치조림
쌀밥/잡곡밥,육개장,치킨핑거
쌀밥/잡곡밥,시금치국,돼지갈비찜
쌀밥/잡곡밥,들깨시래기국,닭갈비
쌀밥/잡곡밥,근대국,돈삼겹보쌈
카레덮밥,맑은국,개성감자만두
쌀밥/잡곡밥,사골떡국,오징어볶음
쌀밥/잡곡밥,된장찌개,누룽지탕수육
쌀밥/잡곡밥,콩가루배추국,짬뽕불고기
쌀밥/잡곡밥,오징어국,수제돈까스
콩나물밥,미역장국,언양식불고기
쌀밥/잡곡밥,해물된장찌개,매운닭찜
쌀밥/잡곡밥,올갱이아욱국,등갈비김치찜
쌀밥/잡곡밥,시금치국,소고기불고기
쌀밥/잡곡밥,새알미역국,돼지갈비찜
곤드레밥*간장양념,청양된장찌개,굴비구이
쌀밥/잡곡밥,북어계란국,찜닭
쌀밥/잡곡밥,콩비지찌개,미니채소떡갈비
쌀밥/잡곡밥,차돌박이찌개,오징어볶음
쌀밥/잡곡밥,어묵국,순살파닭
단호박영양밥,가쯔오장국,돈육칠리강정
쌀밥/잡곡밥,쇠고기무국,갈치구이
쌀밥/잡곡밥,꽃게탕,돈육굴소스볶음
쌀밥/잡곡밥,아욱국,버섯불고기
쌀밥/잡곡밥,연두부탕,사천식탕수육
나물비빔밥,미소장국,코다리조림
쌀밥/잡곡밥,들깨시래기국,제육볶음
쌀밥/잡곡밥,동태탕,찜닭
쌀밥/잡곡밥,들깨무채국,돈육피망볶음
쌀밥/잡곡밥,소고기된장찌개,낙지볶음
콩나물밥,유부주머니국,생선까스&탈탈소스
쌀밥/잡곡밥,봄동된장국,닭볶음탕
쌀밥/잡곡밥,부대찌개,미트볼케찹조림
쌀밥/잡곡밥,해물된장찌개,돈육굴소스볶음
쌀밥/잡곡밥,차돌박이찌개,해물누룽지탕
카레라이스,미소장국,떡갈비조림
쌀밥/잡곡밥,우거지해장국,명태코다리조림
쌀밥/잡곡밥,들깨시래기국,표고버섯탕수육
쌀밥/잡곡밥,오징어국,버섯불고기
쌀밥/잡곡밥,달래된장국,주꾸미볶음
쌀밥/잡곡밥,민물새우찌개,동파육
쌀밥/잡곡밥,순두부찌개,훈제오리구이
쌀밥/잡곡밥,콩나물국,간장마늘치킨
쌀밥/잡곡밥,꽃게탕,언양식불고기
쌀밥/잡곡밥,쇠고기미역국,오징어볶음
쌀밥/잡곡밥,아욱된장국,돼지갈비찜
쌀밥/잡곡밥,어묵국,닭볶음탕
쌀밥/잡곡밥,사골떡국,한방소갈비찜
곤드레밥*간장양념,청량된장찌개,굴비구이
쌀밥/잡곡밥,콩가루배추국,제육볶음
쌀밥/잡곡밥,부대찌개,깐풍기
쌀밥/잡곡밥,황태국,소불고기
쌀밥/잡곡밥,근대국,양파치킨
콩나물밥,맑은국,고추잡채*꽃빵
쌀밥/잡곡밥,봄동된장국,오징어돈육볶음
쌀밥/잡곡밥,차돌박이찌개,명태코다리강정
쌀밥/잡곡밥,아욱국,유자청제육볶음
쌀밥/잡곡밥,꽃게탕,미니채소떡갈비
나물비빔밥,가쯔오장국,치킨핑거
쌀밥/잡곡밥,된장찌개,쇠고기장조림
쌀밥/잡곡밥,육개장,탕수어
쌀밥/잡곡밥,북어국,쇠고기숙주볶음
쌀밥/잡곡밥,시금치된장국,오징어볶음
짜장덮밥,맑은국,과일탕수육
쌀밥/잡곡밥,김치콩나물국,돈육굴소스볶음
쌀밥/잡곡밥,연두부탕,순살파닭
쌀밥/잡곡밥,봄동된장국,가래떡돼지갈비찜
쌀밥/잡곡밥,어묵국,닭볶음
김치제육덮밥,미소장국,양장피잡채
쌀밥/잡곡밥,닭곰탕,매콤미니함박
쌀밥/잡곡밥,차돌박이찌개,표고버섯탕수육
쌀밥/잡곡밥,순두부찌개,돈육볶음
쌀밥/잡곡밥,해물된장찌개,쇠고기장조림
콩나물밥,유부주머니국,언양식불고기
쌀밥/잡곡밥,열무된장국,동파삼겹수육
쌀밥/잡곡밥,부대찌개,해물청경채볶음
쌀밥/잡곡밥,차돌박이찌개,닭갈비
쌀밥/잡곡밥,아욱된장국,사천식탕수육
쌀밥/잡곡밥,떡국,버섯불고기
쌀밥/잡곡밥,들깨미역국,훈제오리구이
쌀밥/잡곡밥,배추된장국,짬뽕불고기
카레덮밥,맑은국,고구마치즈구이
쌀밥/잡곡밥,콩나물국,마늘치킨
쌀밥/잡곡밥,시금치된장국,등갈비김치찜
쌀밥/잡곡밥,황태국,소고기숙주볶음
쌀밥/잡곡밥,아욱된장국,돼지갈비찜
곤드레밥*강된장,어묵국,치킨핑거*요거트소스
쌀밥/오곡밥,차돌박이된장찌개,조기구이
쌀밥/잡곡밥,해물순두부찌개,소고기장조림
쌀밥/잡곡밥,근대된장국,닭강정
콩나물밥,가쯔오국,삼치구이
쌀밥/잡곡밥,홍합탕,오리불고기
쌀밥/잡곡밥,쇠고기샤브국,주꾸미볶음
