본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,중식계,연,월,일,요일_찐,개꿀가능성,휴일전날,휴일다음날,대면출근자,중식_밥,중식_메인요리,중식_국
2624,61,183,376,0.0,1286.0,2016,3,14,0,0,0,0,2563.0,53,109,182
2624,38,231,399,0.0,958.0,2016,3,15,1,0,0,0,2586.0,53,239,176
2624,50,213,0,0.0,998.0,2016,3,16,2,0,0,0,2574.0,6,180,248
2624,52,242,327,0.0,832.0,2016,3,17,3,0,0,0,2572.0,53,374,138
2624,118,277,57,0.0,757.0,2016,3,18,4,0,0,0,2506.0,53,408,170
2624,65,205,329,0.0,1030.0,2016,3,21,0,0,0,0,2559.0,53,189,39
2624,41,208,378,0.0,917.0,2016,3,22,1,0,0,0,2583.0,53,363,161
2624,42,236,0,0.0,963.0,2016,3,23,2,0,0,0,2582.0,75,351,82
2624,53,251,293,0.0,876.0,2016,3,24,3,0,0,0,2571.0,53,249,129
2624,98,275,59,0.0,861.0,2016,3,25,4,0,0,0,2526.0,53,315,51
2624,77,197,299,0.0,1193.0,2016,3,28,0,0,0,0,2547.0,53,78,186
2624,52,245,259,0.0,892.0,2016,3,29,1,0,0,0,2572.0,53,329,204
2624,48,230,0,0.0,1033.0,2016,3,30,2,0,0,0,2576.0,27,304,235
2624,36,248,158,0.0,781.0,2016,3,31,3,0,0,0,2588.0,53,111,95
2643,103,254,47,0.0,661.0,2016,4,1,4,0,0,0,2540.0,53,32,123
2643,62,221,367,0.0,1237.0,2016,4,4,0,0,0,0,2581.0,53,250,168
2643,31,242,370,0.0,840.0,2016,4,5,1,0,0,0,2612.0,53,301,130
2643,37,249,0,0.0,876.0,2016,4,6,2,0,0,0,2606.0,53,325,201
2643,47,258,339,0.0,853.0,2016,4,7,3,0,0,0,2596.0,53,152,182
2643,87,283,64,0.0,764.0,2016,4,8,4,0,0,0,2556.0,53,270,118
2643,82,203,392,0.0,1225.0,2016,4,11,0,0,0,0,2561.0,53,408,172
2643,76,225,239,0.0,771.0,2016,4,12,1,0,1,0,2567.0,53,242,127
2643,106,252,326,0.0,969.0,2016,4,14,3,0,0,1,2537.0,53,111,163
2643,131,281,82,0.0,579.0,2016,4,15,4,0,0,0,2512.0,53,85,46
2643,81,225,330,0.0,1120.0,2016,4,18,0,0,0,0,2562.0,53,108,118
2643,44,239,387,0.0,980.0,2016,4,19,1,0,0,0,2599.0,53,69,222
2643,47,262,0,0.0,849.0,2016,4,20,2,0,0,0,2596.0,74,160,27
2643,66,264,312,0.0,940.0,2016,4,21,3,0,0,0,2577.0,53,246,53
2643,150,275,86,0.0,698.0,2016,4,22,4,0,0,0,2493.0,53,137,130
2643,96,201,281,0.0,1227.0,2016,4,25,0,0,0,0,2547.0,53,98,247
2643,51,227,304,0.0,795.0,2016,4,26,1,0,0,0,2592.0,53,329,158
2643,71,234,0,0.0,1028.0,2016,4,27,2,0,0,0,2572.0,15,56,107
2643,56,269,196,0.0,811.0,2016,4,28,3,0,0,0,2587.0,53,281,108
2643,139,282,28,0.0,652.0,2016,4,29,4,0,0,0,2504.0,53,182,62
2635,80,214,302,0.0,1242.0,2016,5,2,0,0,0,1,2555.0,53,78,170
2635,65,251,292,0.0,964.0,2016,5,3,1,0,0,0,2570.0,6,170,98
2635,150,244,0,0.0,723.0,2016,5,4,2,0,1,0,2485.0,53,299,161
2635,101,233,344,0.0,1216.0,2016,5,9,0,0,0,0,2534.0,53,408,94
2635,53,252,350,0.0,1008.0,2016,5,10,1,0,0,0,2582.0,53,189,247
2635,60,266,0,0.0,915.0,2016,5,11,2,0,0,0,2575.0,19,122,173
2635,71,274,315,0.0,753.0,2016,5,12,3,0,0,0,2564.0,53,338,198
2635,185,268,80,0.0,761.0,2016,5,13,4,0,1,0,2450.0,53,152,68
2635,99,216,368,0.0,1180.0,2016,5,16,0,0,0,0,2536.0,53,111,8
2635,41,254,377,0.0,899.0,2016,5,17,1,0,0,0,2594.0,53,46,75
2635,71,257,0,0.0,856.0,2016,5,18,2,0,0,0,2564.0,32,354,107
2635,65,266,264,0.0,898.0,2016,5,19,3,0,0,0,2570.0,53,180,191
2635,169,287,56,0.0,653.0,2016,5,20,4,0,0,0,2466.0,53,92,168
2635,88,203,362,0.0,1160.0,2016,5,23,0,0,0,0,2547.0,53,247,132
2635,74,234,310,0.0,1107.0,2016,5,24,1,0,0,0,2561.0,53,63,262
2635,72,258,0,0.0,938.0,2016,5,25,2,0,0,0,2563.0,16,374,112
2635,64,285,227,0.0,783.0,2016,5,26,3,0,0,0,2571.0,53,30,162
2635,163,291,61,0.0,660.0,2016,5,27,4,0,0,0,2472.0,53,91,118
2635,73,215,291,0.0,1231.0,2016,5,30,0,0,0,0,2562.0,53,75,248
2635,50,250,185,0.0,921.0,2016,5,31,1,0,0,0,2585.0,53,78,27
2637,75,245,0,0.0,916.0,2016,6,1,2,0,0,0,2562.0,63,304,12
2637,81,258,301,0.0,850.0,2016,6,2,3,0,0,0,2556.0,53,170,195
2637,191,268,64,0.0,721.0,2016,6,3,4,0,0,0,2446.0,53,338,238
2637,115,192,389,0.0,1244.0,2016,6,7,1,0,0,1,2522.0,53,111,129
2637,58,240,0,0.0,931.0,2016,6,8,2,0,0,0,2579.0,53,267,239
2637,69,252,359,0.0,829.0,2016,6,9,3,0,0,0,2568.0,53,131,95
2637,151,270,61,0.0,697.0,2016,6,10,4,0,0,0,2486.0,53,299,68
2637,98,209,415,0.0,1243.0,2016,6,13,0,0,0,0,2539.0,53,325,132
2637,56,241,432,0.0,973.0,2016,6,14,1,0,0,0,2581.0,53,91,118
2637,60,260,0,0.0,984.0,2016,6,15,2,0,0,0,2577.0,72,140,82
2637,73,263,336,0.0,800.0,2016,6,16,3,0,0,0,2564.0,53,17,127
2637,165,291,60,0.0,694.0,2016,6,17,4,0,0,0,2472.0,53,108,39
2637,101,257,344,0.0,1146.0,2016,6,20,0,0,0,0,2536.0,53,143,182
2637,49,248,349,0.0,1091.0,2016,6,21,1,0,0,0,2588.0,53,24,56
2637,47,258,0,0.0,1022.0,2016,6,22,2,0,0,0,2590.0,53,102,172
2637,53,271,346,0.0,877.0,2016,6,23,3,0,0,0,2584.0,53,158,158
2637,169,284,52,0.0,805.0,2016,6,24,4,0,0,0,2468.0,53,175,60
2637,96,227,300,0.0,1142.0,2016,6,27,0,0,0,0,2541.0,53,408,118
2637,63,253,226,0.0,917.0,2016,6,28,1,0,0,0,2574.0,53,44,222
2637,67,248,0,0.0,820.0,2016,6,29,2,0,0,0,2570.0,53,21,247
2637,76,247,151,0.0,886.0,2016,6,30,3,0,0,0,2561.0,53,92,122
2643,145,215,41,0.0,879.0,2016,7,1,4,0,0,0,2498.0,53,312,163
2643,88,190,385,0.0,1292.0,2016,7,4,0,0,0,0,2555.0,53,189,8
2643,55,226,376,0.0,952.0,2016,7,5,1,0,0,0,2588.0,53,66,160
2643,56,224,0,0.0,939.0,2016,7,6,2,0,0,0,2587.0,6,80,6
2643,64,238,340,0.0,857.0,2016,7,7,3,0,0,0,2579.0,53,32,68
2643,155,260,60,0.0,863.0,2016,7,8,4,0,0,0,2488.0,53,27,213
2643,121,210,366,0.0,1115.0,2016,7,11,0,0,0,0,2522.0,53,111,274
2643,72,223,382,0.0,919.0,2016,7,12,1,0,0,0,2571.0,53,271,16
2643,79,241,0,0.0,866.0,2016,7,13,2,0,0,0,2564.0,15,196,194
2643,84,252,308,0.0,781.0,2016,7,14,3,0,0,0,2559.0,53,157,118
2643,189,261,55,0.0,867.0,2016,7,15,4,0,0,0,2454.0,53,137,129
2643,126,208,343,0.0,1158.0,2016,7,18,0,0,0,0,2517.0,53,116,168
2643,111,233,263,0.0,888.0,2016,7,19,1,0,0,0,2532.0,53,174,172
2643,124,238,0,0.0,844.0,2016,7,20,2,0,0,0,2519.0,53,182,139
2643,115,255,263,0.0,733.0,2016,7,21,3,0,0,0,2528.0,53,50,216
2643,251,272,47,0.0,661.0,2016,7,22,4,0,0,0,2392.0,71,39,107
2643,277,180,247,0.0,1086.0,2016,7,25,0,0,0,0,2366.0,53,194,160
2643,260,185,269,0.0,927.0,2016,7,26,1,0,0,0,2383.0,53,180,241
2643,299,192,0,0.0,872.0,2016,7,27,2,0,0,0,2344.0,53,128,170
2643,340,204,197,0.0,816.0,2016,7,28,3,0,0,0,2303.0,53,410,39
2643,486,207,36,0.0,671.0,2016,7,29,4,0,0,0,2157.0,60,68,60
2644,512,109,238,0.0,1055.0,2016,8,1,0,0,0,0,2132.0,53,30,128
2644,460,167,268,0.0,829.0,2016,8,2,1,0,0,0,2184.0,61,71,261
2644,485,183,0,0.0,802.0,2016,8,3,2,0,0,0,2159.0,53,143,123
2644,467,200,262,0.0,671.0,2016,8,4,3,0,0,0,2177.0,53,85,125
2644,538,212,46,0.0,641.0,2016,8,5,4,0,0,0,2106.0,53,159,68
2644,421,180,255,0.0,1038.0,2016,8,8,0,0,0,0,2223.0,53,312,272
2644,392,182,286,0.0,874.0,2016,8,9,1,0,0,0,2252.0,53,181,247
2644,411,188,0,0.0,842.0,2016,8,10,2,0,0,0,2233.0,53,317,140
2644,413,202,295,0.0,845.0,2016,8,11,3,0,0,0,2231.0,53,206,172
2644,587,215,60,0.0,708.0,2016,8,12,4,0,0,0,2057.0,28,214,82
2644,352,177,351,0.0,1023.0,2016,8,16,1,0,0,1,2292.0,53,48,52
2644,311,191,0,0.0,924.0,2016,8,17,2,0,0,0,2333.0,53,299,53
2644,274,215,364,0.0,943.0,2016,8,18,3,0,0,0,2370.0,53,26,191
2644,345,237,59,0.0,754.0,2016,8,19,4,0,0,0,2299.0,19,237,60
2644,115,159,458,0.0,1266.0,2016,8,22,0,0,0,0,2529.0,53,49,39
2644,86,211,386,0.0,1145.0,2016,8,23,1,0,0,0,2558.0,53,360,118
2644,113,209,0,0.0,941.0,2016,8,24,2,0,0,0,2531.0,53,87,264
2644,123,241,308,0.0,885.0,2016,8,25,3,0,0,0,2521.0,53,126,222
2644,194,269,70,0.0,813.0,2016,8,26,4,0,0,0,2450.0,53,146,79
2644,132,202,352,0.0,1258.0,2016,8,29,0,0,0,0,2512.0,53,239,168
2644,96,242,268,0.0,901.0,2016,8,30,1,0,0,0,2548.0,53,30,124
2644,98,236,0,0.0,915.0,2016,8,31,2,0,0,0,2546.0,17,37,6
2769,99,250,336,0.0,953.0,2016,9,1,3,0,0,0,2670.0,53,174,198
2769,177,279,76,0.0,832.0,2016,9,2,4,0,0,0,2592.0,53,93,173
2769,100,225,447,0.0,1164.0,2016,9,5,0,0,0,0,2669.0,53,299,161
2769,59,253,477,0.0,784.0,2016,9,6,1,0,0,0,2710.0,53,19,127
2769,65,241,0,0.0,926.0,2016,9,7,2,0,0,0,2704.0,6,116,71
2769,69,255,438,0.0,758.0,2016,9,8,3,0,0,0,2700.0,53,289,68
2769,137,288,86,0.0,682.0,2016,9,9,4,0,0,0,2632.0,53,309,281
2769,328,176,306,0.0,924.0,2016,9,12,0,0,0,0,2441.0,53,87,172
2769,511,108,52,0.0,820.0,2016,9,13,1,0,1,0,2258.0,53,152,255
2769,167,180,550,0.0,1271.0,2016,9,19,0,0,0,0,2602.0,53,295,182
2769,69,227,588,0.0,1039.0,2016,9,20,1,0,0,0,2700.0,53,143,186
2769,58,246,0,0.0,1068.0,2016,9,21,2,0,0,0,2711.0,63,74,261
2769,137,253,403,0.0,891.0,2016,9,22,3,0,0,0,2632.0,53,314,158
2769,165,278,99,0.0,716.0,2016,9,23,4,0,0,0,2604.0,53,237,198
2769,70,224,494,0.0,1185.0,2016,9,26,0,0,0,0,2699.0,53,311,179
2769,56,233,380,0.0,1033.0,2016,9,27,1,0,0,0,2713.0,53,25,48
2769,50,225,0,0.0,1128.0,2016,9,28,2,0,0,0,2719.0,72,218,82
2769,153,227,331,0.0,1044.0,2016,9,29,3,0,0,0,2616.0,53,120,68
2769,158,256,59,0.0,843.0,2016,9,30,4,0,0,0,2611.0,53,69,210
2670,59,239,1035,0.0,1262.0,2016,10,4,1,0,0,1,2611.0,53,189,118
2670,41,228,0,0.0,1336.0,2016,10,5,2,0,0,0,2629.0,53,157,238
2670,56,245,378,0.0,1196.0,2016,10,6,3,0,0,0,2614.0,53,384,108
2670,144,252,80,0.0,843.0,2016,10,7,4,0,0,0,2526.0,53,381,53
2670,104,216,443,0.0,1180.0,2016,10,10,0,0,0,1,2566.0,53,299,161
2670,69,256,386,0.0,1014.0,2016,10,11,1,0,0,0,2601.0,53,176,171
2670,64,251,0,0.0,951.0,2016,10,12,2,0,0,0,2606.0,33,229,260
2670,66,262,612,0.0,1051.0,2016,10,13,3,0,0,0,2604.0,53,146,79
2670,144,265,172,0.0,898.0,2016,10,14,4,0,0,0,2526.0,53,137,13
2670,107,241,425,0.0,1196.0,2016,10,17,0,0,0,0,2563.0,53,239,108
2670,53,262,394,0.0,994.0,2016,10,18,1,0,0,0,2617.0,53,183,39
2670,72,267,0,0.0,933.0,2016,10,19,2,0,0,0,2598.0,53,309,239
2670,105,269,281,0.0,787.0,2016,10,20,3,0,0,0,2565.0,53,65,61
2670,228,280,62,0.0,760.0,2016,10,21,4,0,0,0,2442.0,70,196,18
2670,120,223,367,0.0,1171.0,2016,10,24,0,0,0,0,2550.0,53,325,68
2670,73,259,345,0.0,1028.0,2016,10,25,1,0,0,0,2597.0,53,30,222
2670,89,258,0,0.0,854.0,2016,10,26,2,0,0,0,2581.0,6,97,118
2670,94,272,240,0.0,807.0,2016,10,27,3,0,0,0,2576.0,53,120,65
2670,192,277,63,0.0,731.0,2016,10,28,4,0,0,0,2478.0,53,48,123
2670,134,223,255,0.0,1224.0,2016,10,31,0,0,0,0,2536.0,53,248,27
2689,70,212,515,0.0,1087.0,2016,11,1,1,0,0,0,2619.0,53,78,181
2689,73,231,0,0.0,1006.0,2016,11,2,2,0,0,0,2616.0,74,406,6
2689,72,283,408,0.0,864.0,2016,11,3,3,0,0,0,2617.0,53,334,158
2689,168,276,81,0.0,803.0,2016,11,4,4,0,0,0,2521.0,53,167,139
2689,133,222,539,0.0,1156.0,2016,11,7,0,0,0,0,2556.0,53,312,198
2689,60,250,503,0.0,986.0,2016,11,8,1,0,0,0,2629.0,53,270,238
2689,58,267,0,0.0,920.0,2016,11,9,2,0,0,0,2631.0,19,49,39
2689,73,267,385,0.0,795.0,2016,11,10,3,0,0,0,2616.0,53,249,33
2689,173,286,69,0.0,652.0,2016,11,11,4,0,0,0,2516.0,53,360,179
2689,92,227,461,0.0,1260.0,2016,11,14,0,0,0,0,2597.0,53,233,182
2689,66,273,418,0.0,914.0,2016,11,15,1,0,0,0,2623.0,53,85,28
2689,60,250,0,0.0,888.0,2016,11,16,2,0,0,0,2629.0,24,310,232
2689,134,263,411,0.0,882.0,2016,11,17,3,0,0,0,2555.0,53,388,146
2689,219,287,57,0.0,730.0,2016,11,18,4,0,0,0,2470.0,53,267,253
2689,94,202,522,0.0,1235.0,2016,11,21,0,0,0,0,2595.0,53,75,173
2689,45,238,452,0.0,1046.0,2016,11,22,1,0,0,0,2644.0,53,248,53
2689,52,251,0,0.0,891.0,2016,11,23,2,0,0,0,2637.0,53,378,169
2689,61,262,351,0.0,870.0,2016,11,24,3,0,0,0,2628.0,53,333,163
2689,200,279,68,0.0,720.0,2016,11,25,4,0,0,0,2489.0,72,377,82
2689,114,219,397,0.0,1246.0,2016,11,28,0,0,0,0,2575.0,53,299,155
2689,84,218,388,0.0,900.0,2016,11,29,1,0,0,0,2605.0,53,325,26
2689,68,207,0,0.0,1109.0,2016,11,30,2,0,0,0,2621.0,15,355,6
2705,84,243,688,0.0,956.0,2016,12,1,3,0,0,0,2621.0,53,170,247
2705,183,272,152,0.0,766.0,2016,12,2,4,0,0,0,2522.0,53,279,79
2705,101,207,839,0.0,1110.0,2016,12,5,0,0,0,0,2604.0,53,408,168
2705,69,222,799,0.0,930.0,2016,12,6,1,0,0,0,2636.0,53,206,279
2705,69,232,0,0.0,895.0,2016,12,7,2,0,0,0,2636.0,70,391,219
2705,76,262,587,0.0,787.0,2016,12,8,3,0,0,0,2629.0,53,278,178
2705,196,284,152,0.0,621.0,2016,12,9,4,0,0,0,2509.0,53,210,237
2705,102,193,633,0.0,1069.0,2016,12,12,0,0,0,0,2603.0,53,111,248
2705,65,226,511,0.0,770.0,2016,12,13,1,0,0,0,2640.0,53,363,46
2705,82,247,0,0.0,904.0,2016,12,14,2,0,0,0,2623.0,37,41,6
2705,98,234,229,0.0,850.0,2016,12,15,3,0,0,0,2607.0,53,289,253
2705,167,262,37,0.0,699.0,2016,12,16,4,0,0,0,2538.0,53,30,161
2705,104,217,197,0.0,1215.0,2016,12,19,0,0,0,0,2601.0,53,333,118
2705,89,238,126,0.0,790.0,2016,12,20,1,0,0,0,2616.0,53,49,247
2705,72,230,0,0.0,929.0,2016,12,21,2,0,0,0,2633.0,53,145,68
2705,118,242,32,0.0,524.0,2016,12,22,3,0,0,0,2587.0,53,245,39
2705,343,243,7,0.0,560.0,2016,12,23,4,0,0,0,2362.0,53,140,185
2705,206,194,63,0.0,1192.0,2016,12,26,0,0,0,1,2499.0,53,107,65
2705,127,236,51,0.0,823.0,2016,12,27,1,0,0,0,2578.0,53,78,191
2705,166,225,0,0.0,767.0,2016,12,28,2,0,0,0,2539.0,74,184,6
2705,242,201,42,0.0,711.0,2016,12,29,3,0,0,0,2463.0,53,301,172
2705,529,127,3,0.0,658.0,2016,12,30,4,0,0,0,2176.0,53,259,168
2697,96,102,272,0.0,1273.0,2017,1,2,0,0,0,1,2601.0,53,241,137
2697,61,158,259,0.0,1041.0,2017,1,3,1,0,0,0,2636.0,53,151,279
2697,67,170,0,0.0,949.0,2017,1,4,2,0,0,0,2630.0,6,125,280
2697,79,207,316,0.0,1000.0,2017,1,5,3,0,0,0,2618.0,53,55,222
2697,189,224,74,0.0,830.0,2017,1,6,4,0,0,0,2508.0,53,143,68
2697,121,166,445,0.0,1322.0,2017,1,9,0,0,0,0,2576.0,53,129,247
2697,70,199,412,0.0,1186.0,2017,1,10,1,0,0,0,2627.0,53,328,160
2697,57,223,0,0.0,1039.0,2017,1,11,2,0,0,0,2640.0,30,220,261
2697,85,238,305,0.0,976.0,2017,1,12,3,0,0,0,2612.0,53,149,182
2697,191,247,62,0.0,791.0,2017,1,13,4,0,0,0,2506.0,53,181,234
2697,123,196,432,0.0,1273.0,2017,1,16,0,0,0,0,2574.0,53,301,186
2697,75,215,380,0.0,1035.0,2017,1,17,1,0,0,0,2622.0,53,248,168
2697,59,240,0,0.0,863.0,2017,1,18,2,0,0,0,2638.0,53,408,178
2697,93,236,334,0.0,866.0,2017,1,19,3,0,0,0,2604.0,53,311,163
2697,207,267,61,0.0,709.0,2017,1,20,4,0,0,0,2490.0,53,19,51
2697,108,202,396,0.0,1152.0,2017,1,23,0,0,0,0,2589.0,53,87,47
2697,63,218,273,0.0,974.0,2017,1,24,1,0,0,0,2634.0,53,107,181
2697,79,203,0,0.0,720.0,2017,1,25,2,0,0,0,2618.0,72,309,82
2697,369,117,28,0.0,844.0,2017,1,26,3,0,1,0,2328.0,53,231,118
2697,177,58,278,0.0,1240.0,2017,1,31,1,0,0,1,2520.0,53,287,108
2632,61,179,0,0.0,1260.0,2017,2,1,2,0,0,0,2571.0,53,50,171
2632,45,217,427,0.0,1005.0,2017,2,2,3,0,0,0,2587.0,53,272,23
2632,104,253,92,0.0,854.0,2017,2,3,4,0,0,0,2528.0,53,232,247
2632,49,202,610,0.0,1319.0,2017,2,6,0,0,0,0,2583.0,53,78,46
2632,40,207,565,0.0,1114.0,2017,2,7,1,0,0,0,2592.0,53,310,53
2632,52,206,0,0.0,1068.0,2017,2,8,2,0,0,0,2580.0,74,92,82
2632,65,227,377,0.0,953.0,2017,2,9,3,0,0,0,2567.0,53,259,117
2632,149,284,59,0.0,797.0,2017,2,10,4,0,0,0,2483.0,64,55,152
2632,61,196,505,0.0,1364.0,2017,2,13,0,0,0,0,2571.0,53,325,160
2632,53,223,444,0.0,997.0,2017,2,14,1,0,0,0,2579.0,53,329,68
2632,51,233,0,0.0,1045.0,2017,2,15,2,0,0,0,2581.0,53,271,78
2632,56,240,419,0.0,968.0,2017,2,16,3,0,0,0,2576.0,53,239,279
2632,144,269,73,0.0,753.0,2017,2,17,4,0,0,0,2488.0,53,137,182
2632,104,199,494,0.0,1216.0,2017,2,20,0,0,0,0,2528.0,53,129,191
2632,63,226,445,0.0,1004.0,2017,2,21,1,0,0,0,2569.0,53,72,123
2632,75,252,0,0.0,1065.0,2017,2,22,2,0,0,0,2557.0,15,227,219
2632,75,272,307,0.0,917.0,2017,2,23,3,0,0,0,2557.0,53,131,247
2632,174,291,63,0.0,698.0,2017,2,24,4,0,0,0,2458.0,53,59,163
2632,134,181,368,0.0,1141.0,2017,2,27,0,0,0,0,2498.0,53,408,126
2632,156,203,179,0.0,956.0,2017,2,28,1,0,1,0,2476.0,53,286,137
2627,190,215,428,0.0,1057.0,2017,3,2,3,0,0,1,2437.0,53,380,62
2627,174,256,70,0.0,926.0,2017,3,3,4,0,0,0,2453.0,72,180,82
2627,63,201,490,0.0,1311.0,2017,3,6,0,0,0,0,2564.0,53,268,182
2627,41,214,455,0.0,994.0,2017,3,7,1,0,0,0,2586.0,53,122,256
2627,46,233,0,0.0,879.0,2017,3,8,2,0,0,0,2581.0,8,299,105
2627,55,254,346,0.0,954.0,2017,3,9,3,0,0,0,2572.0,53,146,178
2627,145,291,63,0.0,664.0,2017,3,10,4,0,0,0,2482.0,53,399,188
2627,82,211,449,0.0,1295.0,2017,3,13,0,0,0,0,2545.0,53,189,198
2627,46,230,437,0.0,972.0,2017,3,14,1,0,0,0,2581.0,53,184,65
2627,40,234,0,0.0,961.0,2017,3,15,2,0,0,0,2587.0,53,279,26
2627,47,259,357,0.0,951.0,2017,3,16,3,0,0,0,2580.0,53,111,204
2627,129,299,59,0.0,625.0,2017,3,17,4,0,0,0,2498.0,53,350,21
2627,86,207,390,0.0,1328.0,2017,3,20,0,0,0,0,2541.0,53,367,178
2627,55,222,454,0.0,940.0,2017,3,21,1,0,0,0,2572.0,53,249,46
2627,53,235,0,0.0,953.0,2017,3,22,2,0,0,0,2574.0,53,309,62
2627,62,245,321,0.0,911.0,2017,3,23,3,0,0,0,2565.0,53,131,244
2627,181,279,50,0.0,644.0,2017,3,24,4,0,0,0,2446.0,53,49,53
2627,105,242,360,0.0,1114.0,2017,3,27,0,0,0,0,2522.0,53,237,181
2627,44,248,368,0.0,970.0,2017,3,28,1,0,0,0,2583.0,53,329,153
2627,42,237,0,0.0,966.0,2017,3,29,2,0,0,0,2585.0,26,286,261
2627,67,278,223,0.0,802.0,2017,3,30,3,0,0,0,2560.0,53,196,132
2627,147,296,45,0.0,639.0,2017,3,31,4,0,0,0,2480.0,53,228,159
2626,81,198,465,0.0,1258.0,2017,4,3,0,0,0,0,2545.0,53,405,39
2626,54,212,418,0.0,809.0,2017,4,4,1,0,0,0,2572.0,53,250,68
2626,63,251,0,0.0,1060.0,2017,4,5,2,0,0,0,2563.0,70,310,81
2626,65,271,317,0.0,897.0,2017,4,6,3,0,0,0,2561.0,53,146,26
2626,151,291,67,0.0,602.0,2017,4,7,4,0,0,0,2475.0,53,180,222
2626,81,229,418,0.0,1218.0,2017,4,10,0,0,0,0,2545.0,53,241,185
2626,44,234,440,0.0,994.0,2017,4,11,1,0,0,0,2582.0,53,391,32
2626,41,241,0,0.0,893.0,2017,4,12,2,0,0,0,2585.0,53,206,73
2626,61,270,318,0.0,784.0,2017,4,13,3,0,0,0,2565.0,53,85,280
2626,122,298,55,0.0,541.0,2017,4,14,4,0,0,0,2504.0,53,299,161
2626,82,220,434,0.0,1237.0,2017,4,17,0,0,0,0,2544.0,53,111,68
2626,57,244,405,0.0,839.0,2017,4,18,1,0,0,0,2569.0,53,249,78
2626,36,256,0,0.0,871.0,2017,4,19,2,0,0,0,2590.0,6,374,82
2626,44,288,284,0.0,713.0,2017,4,20,3,0,0,0,2582.0,53,137,178
2626,137,307,59,0.0,547.0,2017,4,21,4,0,0,0,2489.0,53,189,248
2626,76,260,373,0.0,1109.0,2017,4,24,0,0,0,0,2550.0,53,286,127
2626,69,288,336,0.0,791.0,2017,4,25,1,0,0,0,2557.0,53,80,238
2626,45,304,0,0.0,835.0,2017,4,26,2,0,0,0,2581.0,30,304,82
2626,61,311,183,0.0,788.0,2017,4,27,3,0,0,0,2565.0,53,163,108
2626,161,310,44,0.0,575.0,2017,4,28,4,0,0,0,2465.0,53,375,38
2637,933,123,88,0.0,525.0,2017,5,2,1,0,1,1,1704.0,53,409,239
2637,1224,41,45,0.0,383.0,2017,5,4,3,0,1,1,1413.0,53,78,73
2637,715,130,151,0.0,792.0,2017,5,8,0,1,1,0,1922.0,53,250,21
2637,68,223,0,0.0,1235.0,2017,5,10,2,0,0,1,2569.0,53,325,68
2637,57,264,471,0.0,829.0,2017,5,11,3,0,0,0,2580.0,53,72,244
2637,113,289,96,0.0,817.0,2017,5,12,4,0,0,0,2524.0,53,309,205
2637,63,224,516,0.0,1203.0,2017,5,15,0,0,0,0,2574.0,53,113,253
2637,41,266,486,0.0,890.0,2017,5,16,1,0,0,0,2596.0,53,299,161
