조식_밥,조식_국,조식_반찬,점심_밥,점심_국,점심_반찬,저녁_밥,저녁_국,저녁_반찬
밤죽/쌀밥,된장찌개,비름나물,쌀밥/잡곡밥,도토리묵냉국,목살데리야끼구이,쌀밥/잡곡밥,순두부찌개,해물누룽지탕
땅콩죽/쌀밥,북어콩나물국,쥐어채무침,쌀밥/잡곡밥,배추된장국,훈제오리구이,쌀밥/잡곡밥,김치찌개,모둠장조림
녹두죽/쌀밥,새우살미역국,느타리볶음,쌀밥/잡곡밥,육개장,고등어구이,볶음밥/짜장소스,계란국,탕수만두
잣죽/쌀밥,동태찌개,애호박나물,쌀밥/잡곡밥,콩나물국,간장돼지갈비찜,쌀밥/잡곡밥,청국장찌개,아귀콩나물찜
단호박죽/쌀밥,소고기무국,가지나물,쌀밥/잡곡밥,버섯들깨찌개,닭오븐구이,주먹밥,김치말이국수,감자버터구이
브로컬리죽/쌀밥,시금치국,볼어묵조림,쌀밥/잡곡밥,수제비국,유자청제육볶음,쌀밥/잡곡밥,차돌박이된장찌개,깐풍기
호두죽/쌀밥,무채국,두부조림,쌀밥/잡곡밥,감자고추장찌개,버섯불고기,쌀밥/잡곡밥,열무된장국,닭볶음탕
표고버섯죽/쌀밥,꽃게탕,시금치나물,쌀밥/잡곡밥,쇠고기미역국,꽁치김치말이찜,굴소스파인볶음밥,맑은국,탕수어
닭죽/쌀밥,느타리버섯국,명엽채무침,곤드레밥,가쯔오장국,닭강정,쌀밥/잡곡밥,시금치국,오징어볶음
쇠고기죽/쌀밥,김치콩나물국,멸치호두볶음,쌀밥/잡곡밥,된장찌개,갈치조림,쌀밥/잡곡밥,함박스테이크,단호박스프
김치죽/쌀밥,근대국,머위대나물,쌀밥/잡곡밥,우무묵냉국,갈릭돈까스,쌀밥/잡곡밥,알탕,고추잡채*꽃빵
흑임자죽/쌀밥,감자국,마늘쫑볶음,쌀밥/잡곡밥,호박잎찌개,돈육굴소스볶음,쌀밥/잡곡밥,부대찌개,가자미튀김
홍게살죽/쌀밥,쇠고기무국,숙주미나리나물,쌀밥/잡곡밥,건새우아욱국,순살파닭,볶음밥,쌀국수,수제핫도그
참치야채죽/쌀밥,대구찌개,고구마순나물,나물비빔밥,오이냉국,사천식탕수육,쌀밥/잡곡밥,쇠고기샤브국,황태양념구이
새송이죽/쌀밥,새알미역국,진미채무침,쌀밥/잡곡밥,배추된장국,매운주꾸미볶음,멸치주먹밥,물냉면,과일샐러드
팥죽/쌀밥,두부김치국,김자반,쌀밥/잡곡밥,북어계란국,등갈비김치찜,쌀밥/잡곡밥,오징어국,쇠고기장조림
땅콩죽/쌀밥,시금치국,명엽채무침,쌀밥/잡곡밥,순두부찌개,돈육떡강정,쌀밥/잡곡밥,느타리버섯국,고등어카레구이
녹두죽/쌀밥,어묵국,콩자반,쌀밥/잡곡밥,시래기국,목살데리야끼,콩나물밥,맑은국,너비아니*부추생채
양송이죽/쌀밥,무채국,오이무침,쌀밥/잡곡밥,사골우거지탕,미트볼조림,쌀밥/잡곡밥,동태찌개,치킨핑거
해물죽/쌀밥,근대된장국,버섯볶음,쌀밥/잡곡밥,우묵콩국,고추장불고기,볶음밥*자장소스,계란파국,유산슬
닭죽/쌀밥,북어계란국,멸치볶음,참치회덮밥,미소장국,고구마치즈구이,쌀밥/잡곡밥,돈육김치찌개,깐풍기
누룽지탕/쌀밥,민물새우찌개,김실파무침,쌀밥/잡곡밥,쇠고기미역국,불닭볶음,쌀밥/잡곡밥,콩가루배추국,돈까스
김치죽/쌀밥,바지락콩나물국,시래기나물,쌀밥/잡곡밥,청국장찌개,미니채소떡갈비,충무김밥,잔치국수,오징어무침
누룽지탕/쌀밥,고추장찌개,브로컬리들깨찜,쌀밥/잡곡밥,시금치국,동파삼겹수육,쌀밥/잡곡밥,어묵국,닭볶음탕
새우살죽/쌀밥,감자국,숙주나물,쌀밥/잡곡밥,꽃게탕,훈제오리냉채,카레라이스,맑은국,순대야채볶음
쇠고기죽/쌀밥,북어국,애호박나물,연복풍덮밥,도토리묵냉국,꽁치오븐구이,쌀밥/잡곡밥,아욱국,등뼈묵은지찜
보리누룽지탕/쌀밥,근대국,사각어묵볶음,쌀밥/잡곡밥,부대찌개*라면사리,갈치구이,쌀밥/잡곡밥,콩나물국,소불고기
단호박죽/쌀밥,오징어국,새송이볶음,열무보리비빔밥,팽이장국,꽃맛살볶음,쌀밥/잡곡밥,짬뽕수제비국,모둠장조림
누룽지탕/쌀밥,차돌박이찌개,김자반,쌀밥/잡곡밥,버섯들깨탕,레몬탕수육,주먹밥,냉모밀국수,소고기퀘사디아
야채죽/쌀밥,느타리버섯국,크랜베리멸치볶음,쌀밥/잡곡밥,복숭아미역냉국,닭데리야끼조림,오므라이스,가쯔오장국,떡볶이
홍게살죽/쌀밥,동태찌개,아삭고추무침,쌀밥/잡곡밥,된장찌개,매콤돼지갈비찜,쌀밥/잡곡밥,쇠고기무국,쭈꾸미볶음
누룽지탕/쌀밥,김치두부국,명엽채무침,쌀밥/잡곡밥,호박잎된장국,유자청제육볶음,쌀밥/잡곡밥,북어국,찜닭
야채죽/쌀밥,올갱이아욱국,호박볶음,쌀밥/잡곡밥,콩나물국,미니함박조림,작은밥,콩국수,멕시칸샐러드
누룽지탕/쌀밥,새우살미역국,고구마순나물,쌀밥/잡곡밥,사과오이냉국,장어강정,쌀밥/잡곡밥,닭개장,해물청경채볶음
녹두죽/쌀밥,쇠고기샤브국,참나물땅콩무침,쌀밥/잡곡밥,시래기국,삼겹살오븐구이,볶음밥,스파게티/크림스프,치킨텐더
해물죽/쌀밥,감자국,가지볶음,불고기덮밥,맑은국,새우까스&탈탈소스,쌀밥/잡곡밥,김치찌개,삼치된장구이
잣죽/쌀밥,북어국,진미채무침,쌀밥/잡곡밥,닭곰탕,고등어조림,김밥볶음밥,미소장국,과일샐러드
누룽지탕/쌀밥,어묵국,콩나물무침,쌀밥/잡곡밥,대구매운탕,오징어볶음,쌀밥/잡곡밥,콩비지찌개,돈육굴소스볶음
흑임자죽/쌀밥,우거지해장국,미역줄기볶음,쌀밥/잡곡밥,열무된장국,갈릭돈가스,유부초밥,김치우동,왕새우튀김
쇠고기죽/쌀밥,오징어국,도라지나물,단호박영양밥,도토리묵냉국,소고기숙주볶음,쌀밥/잡곡밥,된장찌개,훈제오리/무쌈/양파절임
잣죽/쌀밥,우거지해장국,새송이버섯볶음,쌀밥/잡곡밥,꽃게탕,고추잡채*꽃빵,쌀밥/잡곡밥,무채국,돈육볶음
호박죽/쌀밥,조랭이떡미역국,꽈리고추찜,쌀밥/잡곡밥,배추된장국,칠리탕수육,김치볶음밥,유부장국,허니버터옥수수
누룽지탕/쌀밥,북어국,애호박볶음,쌀밥/잡곡밥,해물된장찌개,닭볶음,쌀밥/잡곡밥,감자국,등갈비김치찜
고구마죽/쌀밥,시금치국,김잔파무침,쌀밥/잡곡밥,육개장,동태무조림,콩국수,작은밥,춘권
누룽지탕/쌀밥,민물새우찌깨,도라지나물,쌀밥/잡곡밥,떡국,마늘치킨,쌀밥/잡곡밥,콩나물냉국,주꾸미볶음
누룽지탕/쌀밥,느타리버섯국,김자반,쌀밥/잡곡밥,순두부찌개,소불고기,쌀밥/잡곡밥,차돌박이찌개,닭갈비
야채죽/쌀밥,근대국,명엽채무침,쌀밥/잡곡밥,버섯매운탕,갈치구이,굴소스해물볶음밥,맑은국,수제고로케*케찹
크림누룽지탕/쌀밥,대구찌개,곤약어묵볶음,낙지비빔밥,가쯔오장국,계란말이,쌀밥/잡곡밥,청국장찌개,깐풍육
김치죽/쌀밥,콩나물국,고구마순나물,쌀밥/잡곡밥,오징어국,목살데리야끼,참치주먹밥,로제파스타/스프,고구마치즈구이
팥죽/쌀밥,맑은만두육개장,가지나물,쌀밥/잡곡밥,시래기된장국,닭찜,쌀밥/잡곡밥,알탕,돈육장조림
누룽지탕/쌀밥,호박젓국찌개,감자조림,쌀밥/잡곡밥,쇠고기샤브국,오징어볶음,쌀밥/잡곡밥,어묵국,제육볶음
해물죽/쌀밥,콩나물된장국,구이김,쌀밥/잡곡밥,부대찌개,가자미카레튀김,볶음밥/짜장소스,유부장국,멕시칸샐러드
누룽지탕/쌀밥,쇠고기무국,진미채무침,곤드레밥,두부맑은국,돈육떡강정,쌀밥/잡곡밥,얼갈이된장국,닭오븐구이
늙은호박죽/쌀밥,김치두부국,취나물,쌀밥/잡곡밥,된장찌개,오리고추장볶음,김밥,잔치국수,새우까스*타르타르
땅콩죽/쌀밥,아욱된장국,미역줄기볶음,쌀밥/잡곡밥,황태맑은국,유린기,쌀밥/잡곡밥,쇠고기미역국,자반고등어구이
누룽지탕/쌀밥,꽃게탕,김자반,쌀밥/잡곡밥,시래기국,닭볶음,볶음밥,쌀국수,미니햄버거
새송이죽/쌀밥,감자국,멸치볶음,쌀밥/잡곡밥,토란국,매운돼지갈비찜,쌀밥/잡곡밥,참치김치찌개,주꾸미볶음
누룽지탕/쌀밥,북어해장국,김구이,쌀밥/잡곡밥,어묵국,오리훈제고추장볶음,쌀밥/잡곡밥,수제비국,탕평채
잣죽/쌀밥,쇠고기미역국,명엽채무침,쌀밥/잡곡밥,얼갈이된장국,레몬탕수육,콩나물밥,맑은국,장어강정
누룽지탕/쌀밥,버섯들깨탕,김가루실파무침,열무비빔밥,팽이장국,너비아니구이,쌀밥/잡곡밥,고추장찌개,쇠고기모둠장조림
쇠고기죽/쌀밥,된장찌개,브로컬리들깨무침,쌀밥/잡곡밥,쇠고기무국,임연수찜,유부초밥,꼬지어묵우동,모듬떡볶이
크림누룽지탕/쌀밥,김치국,숙주나물,쌀밥/잡곡밥,오징어국,소고기숙주볶음,쌀밥/잡곡밥,콩나물국,수제돈까스
누룽지탕/쌀밥,꽃게탕,미역줄기볶음,쌀밥/잡곡밥,아욱된장국,유자청돈육볶음,쌀밥/잡곡밥,무채맑은국,갈치조림
흑임자죽/쌀밥,민물새우찌개,도라지나물,쌀밥/잡곡밥,느타리버섯국,간장파닭,쇠고기숙주규동덮밥,미소장국,탕수어
수삼닭죽/쌀밥,맑은만두육개장,무생채,카레덮밥,맑은국,샐러드파스타,쌀밥/잡곡밥,조갯살미역국,미니채소떡갈비
누룽지탕/쌀밥,감자국,치커리무침,쌀밥/잡곡밥,된장찌개,돈육장조림,충무김밥,잔치국수,오징어무침
단호박죽/쌀밥,콩나물국,크랜베리멸치볶음,쌀밥/잡곡밥,우거지해장국,꽁치한마리구이,쌀밥/잡곡밥,근대된장국,돈육강정
견과류죽/쌀밥,북어채국,김자반,쌀밥/잡곡밥,배추된장국,버섯불고기,쌀밥/잡곡밥,콩비지찌개,닭볶음
누룽지탕/쌀밥,어묵국,감자채볶음,쌀밥/잡곡밥,차돌박이찌개,매운주꾸미볶음,쌀밥/잡곡밥,순두부찌개,미니함박조림
해물죽/쌀밥,고추장찌개,구구마순나물,쌀밥/잡곡밥,미역국,한방소갈비찜,작은밥,짬뽕,군만두
팥죽/쌀밥,연두부탕,시래기조림,쌀밥/잡곡밥,대구매운탕,표고돈육탕수,쌀밥/잡곡밥,육개장,코다리엿장조림
홍게살죽/쌀밥,호박젓국찌개,검정콩조림,쌀밥/잡곡밥,쇠고기샤브국,오징어볶음,쌀밥/잡곡밥,콩나물국,돈육굴소스볶음
양송이죽/쌀밥,오징어국,미역나물,쌀밥/잡곡밥,시금치된장국,목살스테이크,김치볶음밥,미소장국,궁중떡볶음
누룽지탕/쌀밥,얼큰소고기국,김구이,산채비빔밥*강된장,팽이버섯국,생선커틀릿,쌀밥/잡곡밥,황태국,닭오븐구이
브로컬리죽/쌀밥,김치두부국,꽈리고추찜,쌀밥/잡곡밥,떡국,마늘치킨,통새우김밥,어묵우동,찹쌀순대볶음
누룽지탕/쌀밥,아욱국,진미채무침,쌀밥/잡곡밥,건새우무국,등갈비김치찜,쌀밥/잡곡밥,부대찌개,탕수어
흑임자죽/쌀밥,감자국,명엽채무침,쌀밥/잡곡밥,미역국,소불고기,쌀밥/잡곡밥,해물된장찌개,닭매운찜
녹두죽/쌀밥,매운버섯국,시금치나물,쌀밥/잡곡밥,꽃게탕,미트볼칠리조림,나가사키면&김,참치주먹밥,개성감자만두
누룽지탕/쌀밥,북어해장국,감자채볶음,쌀밥/잡곡밥,참치김치찌개,유린기,쌀밥/잡곡밥,어묵국,돼지갈비찜
늙은호박죽/쌀밥,고추장찌개,연근조림,쌀밥/잡곡밥,돈신탕(해장탕),꽁치김치말이,옛날왕돈까스,옥수수스프,샐러드파스타
누룽지탕/쌀밥,쇠고기무국,콩나물무침,짜장밥,계란국,사천식탕수육,쌀밥/잡곡밥,닭개장,해물청경채볶음
누룽지탕/쌀밥,어묵국,고구마순나물,쌀밥/잡곡밥,된장찌개,제육볶음,쌀밥/잡곡밥,북어계란국,닭강정
견과류죽/쌀밥,근대국,오이무침,쌀밥/잡곡밥,육개장,갈치구이,오므라이스,가쯔오장국,훈제오리냉채
