일자,요일,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,조식_밥,조식_국,조식_반찬,점심_밥,점심_국,점심_반찬,저녁_밥,저녁_국,저녁_반찬
2021-02-22,월,2924,105,197,814,247.0,누룽지탕/흑미밥,미역국,매콤부들어묵볶음,쌀밥/흑미밥/찰현미밥,호박고추장찌개,안동찜닭,흑미밥,동태알탕,깐풍육
2021-02-23,화,2924,75,200,783,233.0,녹두죽/흑미밥,북어해장국,부추김무침,쌀밥/보리밥/찰현미밥,근대국,등갈비김치찜,흑미밥,쇠고기무국,춘전닭갈비
2021-02-24,수,2924,77,235,3,234.0,감자스프/흑미밥,시금치된장국,우엉조림,쌀밥/흑미밥/찰현미밥,해물탕,쇠고기숙주볶음,애플카레라이스,팽이장국,가지탕수
2021-02-25,목,2924,91,252,585,235.0,누룽지탕/흑미밥,맑은버섯국,수제동그랑땡전*케찹,쌀밥/흑미밥/찰현미밥,나주곰탕,생선까스*타르타르D,흑미밥,계란파국,쭈꾸미불고기
2021-02-26,금,2924,261,279,1,179.0,게살죽/흑미밥,매생이굴국,두부양념구이,쌀밥/오곡밥/찰현미밥,옹심이국,목살스테이크,흑미밥,스팸김치찌개,삼치구이*와사비장
2021-03-02,화,2975,139,166,781,248.0,누룽지탕/흑미밥,애호박새우젓국,재래김*양념장,쌀밥/흑미밥/찰현미밥,아욱국,치즈불닭,흑미밥,냉이김칫국,해물우동볶음
2021-03-03,수,2975,50,195,1,292.0,고구마죽/흑미밥,사골우거지국,비엔나소세지볶음,쌀밥/흑미밥/찰현미밥,황태미역국,동파육,흑미밥,(New)수제오떡탕,매운족발볶음
2021-03-04,목,2975,72,236,746,263.0,누룽지탕/흑미밥,아귀매운탕,동초나물무침,쌀밥/옥수수밥/찰현미밥,매운쇠고기샤브샤브국,갈치조림,흑미밥,짬뽕국,쇠고기탕수
2021-03-05,금,2975,158,257,2,226.0,낙지죽/흑미밥,감자국,멸치마늘종볶음,쌀밥/흑미밥/찰현미밥,쑥국,닭다리튀김,샐러드김밥,미소시루,라볶이
2021-03-08,월,2975,97,170,939,264.0,누룽지탕/흑미밥,맑은버섯국,스팸구이,쌀밥/흑미밥/찰현미밥,얼갈이된장국,오리불고기,흑미밥,달래된장찌개,코코뱅
2021-03-09,화,2975,76,170,1003,282.0,채소죽/흑미밥,동태매운탕,모둠사태조림,쌀밥/차조밥/찰현미밥,갈비탕,순살닭강정,흑미밥,맑은콩나물국,돈육김치볶음
2021-03-10,수,2975,71,185,1,271.0,팥죽/흑미밥,북엇국,방풍나물,봄나물비빔밥,냉이된장국,수제고기육전,흑미밥,순두부백탕,낙지볶음
2021-03-11,목,2975,93,223,609,261.0,누룽지탕/흑미밥,조랭이떡국,가지나물,쌀밥/귀리밥/찰현미밥,콩가루배추국,타워함박스테이크,꽁보리밥*볶음고추장,닭칼국수,왕만두찜*양념장
2021-03-12,금,2975,241,240,0,251.0,참치죽/흑미밥,꽃게탕,섭산적채소조림,쌀밥/흑미밥/찰현미밥,어묵매운탕,목살구이,흑미밥,뼈해장국,가자미유린기
2021-03-15,월,2975,126,148,864,314.0,누룽지탕/흑미밥,미역국,새우완자전*케찹,쌀밥/흑미밥/찰현미밥,근대된장국,묵은지닭찜,해물짜장면,계란파국,사천탕수육
2021-03-16,화,2975,74,176,658,401.0,오곡죽/흑미밥,대구지리,생깻잎지,쌀밥/수수밥/찰현미밥,대파육개장,고등어구이*와사비장,흑미밥,사골파국*소면사리,매콤돈육메추리알장조림
2021-03-17,수,2975,90,192,4,371.0,양송이스프/흑미밥,매운감자양파국,자반무침,쌀밥/흑미밥/찰현미밥,물만둣국,제육미나리볶음,흑미밥,김칫국,닭살채소굴소스볶음
2021-03-18,목,2975,106,231,520,351.0,누룽지탕/흑미밥,콩나물오징어국,고사리들깨볶음,쌀밥/기장밥/찰현미밥,열무된장국,장각허브오븐구이*청양마요소스,쇠고기규동덮밥,가쓰오장국,(New)피자핫도그
2021-03-19,금,2975,253,255,0,266.0,흑임자죽/흑미밥,건새우아욱국,베이컨숙주볶음,쌀밥/흑미밥/찰현미밥,버섯매운탕,돈갈비찜,흑미밥,부대찌개,삼치엿장구이
2021-03-22,월,2975,133,166,707,350.0,누룽지탕/흑미밥,시금치된장국,캔꽁치무조림,쌀밥/흑미밥/찰현미밥,황태국,콩나물불고기,흑미밥,순두부찌개,닭간장조림
2021-03-23,화,2975,82,205,688,349.0,게살죽/흑미밥,들깨무채국,명엽채고추장볶음,쌀밥/검정콩밥/찰현미밥,순남시래기국,장어강정*데리야끼소스,베이컨김치볶음밥,우동국물,알리오올리오
2021-03-24,수,2975,87,234,0,314.0,흑미두부죽/흑미밥,냉이된장국,쇠고기꽈리고추장조림,쌀밥/흑미밥/찰현미밥,미역국,바베큐폭립,흑미밥,맑은버섯국,오삼불고기
2021-03-25,목,2975,118,260,441,297.0,누룽지탕/흑미밥,쇠고기해장국,감자채볶음,쌀밥/차조밥/찰현미밥,아욱국,짜파치킨,흑미밥,짬뽕수제비,생선까스*타르타르D
2021-03-26,금,2975,311,266,0,229.0,단호박죽/흑미밥,아귀매운탕,땅콩조림,쌀밥/흑미밥/찰현미밥,돈육김치찌개,소불고기,흑미밥/미니팥칼국수,차돌된장찌개,적어양념구이
2021-03-29,월,2975,121,178,660,318.0,누룽지탕/흑미밥,우거지국,마늘종호두조림,쌀밥/흑미밥/찰현미밥,동태매운탕,차돌박이구이&청경채찜,셀프충무김밥,미소시루,오징어어묵무침
2021-03-30,화,2975,83,198,625,313.0,채소새우죽/흑미밥,옹심이국,멸치고추장볶음,쌀밥/완두콩밥/찰현미밥,유부장국,돈수육,오므라이스/추가밥,애호박새우젓국,빌소세지구이*구운채소
2021-03-31,수,2975,86,217,0,317.0,크루통크림스프/흑미밥,꽃게탕,건파래볶음,쌀밥/흑미밥/찰현미밥,콩가루배추국,허니순살치킨,흑미밥,쇠고기무국,마파두부소스
2021-04-01,목,2973,88,256,394,303.0,누룽지탕/흑미밥,북어해장국,달래오이무침,쌀밥/보리밥/찰현미밥,순대국밥*다대기,해물동그랑땡채소볶음,흑미밥,미니우동,치킨까스김치나베
2021-04-02,금,2973,275,272,0,224.0,바지락죽/흑미밥,김칫국,비엔나구이*케찹,쌀밥/흑미밥/찰현미밥,닭개장,돈육춘장볶음,흑미밥,근대국,코다리무조림
2021-04-05,월,2973,125,174,704,331.0,누룽지탕/흑미밥,청양콩나물국,스팸구이,쌀밥/흑미밥/찰현미밥,쇠고기미역국,춘천닭갈비,흑미밥,돈육고추장찌개,갈치구이
2021-04-06,화,2973,76,170,636,364.0,고구마스프/흑미밥,아욱국,참치채소볶음,쌀밥/귀리밥/찰현미밥,순두부백탕,매콤소갈비찜,추가밥,짬뽕*생면,수제찹쌀꿔바로우
2021-04-07,수,2973,96,214,1,334.0,팥죽/흑미밥,닭살해장국,우엉채조림,쌀밥/흑미밥/찰현미밥,냉이국,돈육간장불고기,단호박카레라이스,시금치된장국,소떡소떡
2021-04-08,목,2973,105,238,509,324.0,누룽지탕/흑미밥,감자국,두부양념조림,쌀밥/옥수수밥/찰현미밥,맑은떡국,가자미구이*장,흑미밥,어묵매운탕,쇠고기숙주볶음
2021-04-09,금,2973,259,268,0,229.0,채소죽/흑미밥,대구지리,애호박나물볶음,쌀밥/흑미밥/찰현미밥,사골우거지국,해물누룽지탕,흑미밥,맑은버섯국,매운사태조림
