일자,요일,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,중식계,석식계,조식_밥,조식_국,조식_반찬,점심_밥,점심_국,점심_반찬,저녁_밥,저녁_국,저녁_반찬
2016-03-11,금,2624,108,275,76,0.0,728.0,591.0,고구마죽/쌀밥,재첩국,검정콩조림,쌀밥/잡곡밥,배추된장국,수제돈가스,쌀밥/잡곡밥,연두부탕,코다리무조림
2016-03-14,월,2624,61,183,376,0.0,1286.0,586.0,흑임자죽/쌀밥,황태국,미역줄기볶음,쌀밥/잡곡밥,어묵국,돈육고추장볶음,쌀밥/잡곡밥,달래된장찌개,간장찜닭
2016-03-15,화,2624,38,231,399,0.0,958.0,545.0,해물죽/쌀밥,쇠고기무국,브로컬리들깨찜,쌀밥/잡곡밥,쑥국,소불고기,짜장잡채덮밥,계란파국,참치야채전
2016-03-16,수,2624,50,213,0,0.0,998.0,531.0,홍게살죽/쌀밥,시래기국,느타리호박볶음,곤드레밥,콩나물김치국,미니채소떡갈비,쌀밥/잡곡밥,뼈해장국,해물청경채볶음
2016-03-17,목,2624,52,242,327,0.0,832.0,548.0,브로컬리죽/쌀밥,오징어국,숙주나물,쌀밥/잡곡밥,사골우거지국,탕수어,토마토스파게티,양송이스프,미니햄버거
2016-03-18,금,2624,118,277,57,0.0,757.0,521.0,표고버섯죽/쌀밥,들깨미역국,방풍나물,쌀밥/잡곡밥,시금치국,훈제오리구이,쌀밥/잡곡밥,닭곰탕,임연수찜
2016-03-21,월,2624,65,205,329,0.0,1030.0,605.0,김치죽/쌀밥,무채국,김실파무침,쌀밥/잡곡밥,꽃게탕,버섯불고기,쌀밥/잡곡밥,수제비국,아귀콩나물찜
2016-03-22,화,2624,41,208,378,0.0,917.0,585.0,참치야채죽/쌀밥,선지해장국,브로컬리초장,쌀밥/잡곡밥,쇠고기샤브국,코다리강정,굴소스파인볶음밥,가쯔오장국,찹쌀순대볶음
2016-03-23,수,2624,42,236,0,0.0,963.0,544.0,새송이버섯죽/쌀밥,근대국,쑥갓두부무침,콩나물밥*달래장,맑은국,치킨텐더*요거트D,쌀밥/잡곡밥,알탕,동그랑땡전
2016-03-24,목,2624,53,251,293,0.0,876.0,507.0,밤죽/쌀밥,순두부국,크랜베리멸치볶음,쌀밥/잡곡밥,북어계란국,쇠고기장조림,참치회덮밥,미소장국,군만두
2016-03-25,금,2624,98,275,59,0.0,861.0,523.0,견과류죽/쌀밥,콩나물국,진미채무침,쌀밥/잡곡밥,닭개장,자반고등어구이,쌀밥/잡곡밥,냉이된장찌개,누룽지탕수육
2016-03-28,월,2624,77,197,299,0.0,1193.0,637.0,새우살죽/쌀밥,두부김치국,미역레몬초무침,쌀밥/잡곡밥,얼갈이된장국,닭갈비,쌀밥/잡곡밥,콩비지찌개,유산슬
2016-03-29,화,2624,52,245,259,0.0,892.0,465.0,야채죽/쌀밥,쇠고기버섯국,오이무침,쌀밥/잡곡밥,옹심이만두국,주꾸미볶음,햄볶음밥,유부장국,돈육씨앗강정
2016-03-30,수,2624,48,230,0,0.0,1033.0,463.0,닭죽/쌀밥,감자국,참나물무침,봄새싹비빔밥,쪽파국,오징어튀김,쌀밥/잡곡밥,어묵국,등갈비김치찜
2016-03-31,목,2624,36,248,158,0.0,781.0,526.0,늙은호박죽/쌀밥,바지락쑥국,마늘쫑무침,쌀밥/잡곡밥,매운콩나물국,돈육굴소스볶음,주먹밥,잔치국수,또띠아피자
2016-04-01,금,2643,103,254,47,0.0,661.0,591.0,녹두죽/쌀밥,민물새우찌개,구이김,쌀밥/잡곡밥,버섯들깨탕,갈치조림,쌀밥/잡곡밥,쇠고기미역국,순살깐풍기
2016-04-04,월,2643,62,221,367,0.0,1237.0,614.0,잣죽/쌀밥,근대국,마늘쫑무침,쌀밥/잡곡밥,순두부찌개,쇠불고기,쌀밥/잡곡밥,된장찌개,고등어조림
2016-04-05,화,2643,31,242,370,0.0,840.0,555.0,양송이죽/쌀밥,두부젓국찌개,미역줄기볶음,쌀밥/잡곡밥,북어국,오징어볶음*소면,김치볶음밥,가쯔오장국,감자치즈구이
2016-04-06,수,2643,37,249,0,0.0,876.0,492.0,팥죽/쌀밥,꽃게탕,방풍나물,쌀밥/잡곡밥,올갱이아욱국,제육볶음,쌀밥/잡곡밥,매운버섯국,찜닭
2016-04-07,목,2643,47,258,339,0.0,853.0,524.0,흑임자죽/쌀밥,열무된장국,진미채무침,쌀밥/잡곡밥,어묵국,매운돼지갈비찜,김밥,우동,야채튀김
2016-04-08,금,2643,87,283,64,0.0,764.0,542.0,고구마죽/쌀밥,대구찌개,콩조림,쌀밥/잡곡밥,배추된장국,순살양념치킨,쌀밥/잡곡밥,오징어국,미니함박
2016-04-11,월,2643,82,203,392,0.0,1225.0,536.0,견과류죽/쌀밥,고추장찌개,김자반,쌀밥/잡곡밥,시래기국,훈제오리구이,쌀밥/잡곡밥,쇠고기무국,가자미찜
2016-04-12,화,2643,76,225,239,0.0,771.0,500.0,쇠고기죽/쌀밥,얼갈이된장국,감자채볶음,쌀밥/잡곡밥,부대찌개,쇠고기단호박조림,치킨마요덮밥,유부주머니국,떡볶이
2016-04-14,목,2643,106,252,326,0.0,969.0,562.0,브로컬리죽/쌀밥,황태국,콩나물무침,쌀밥/잡곡밥,수제비국,돈육굴소스볶음,비빔밥,팽이버섯장국,새우또띠아
2016-04-15,금,2643,131,281,82,0.0,579.0,582.0,새우살죽/쌀밥,재첩국,시금치나물,쌀밥/잡곡밥,냉이된장찌개,닭데리야끼조림,쌀밥/잡곡밥,들깨미역국,수제돈가스
2016-04-18,월,2643,81,225,330,0.0,1120.0,525.0,흑임자죽/쌀밥,감자국,오이무침,쌀밥/잡곡밥,배추된장국,돈육강정,쌀밥/잡곡밥,꽃게탕,유산슬
2016-04-19,화,2643,44,239,387,0.0,980.0,449.0,표고버섯죽/쌀밥,콩나물국,곤약어묵볶음,쌀밥/잡곡밥,육개장,꽁치한마리구이,낙지비빔밥,유부장국,새싹피자
2016-04-20,수,2643,47,262,0,0.0,849.0,504.0,홍게살죽/쌀밥,김치국,느타리볶음,콩나물밥,근대된장국,매콤떡갈비조림,쌀밥/잡곡밥,어묵국,닭볶음탕
2016-04-21,목,2643,66,264,312,0.0,940.0,531.0,늙은호박죽/쌀밥,선지해장국,비름나물,쌀밥/잡곡밥,대구매운탕,쇠고기볶음,오므라이스,팽이버섯국,해물까스*탈탈소스
2016-04-22,금,2643,150,275,86,0.0,698.0,557.0,고구마죽/쌀밥,아욱국,숙주나물,쌀밥/잡곡밥,북어국,등갈비김치찜,쌀밥/잡곡밥,순두부찌개,탕수어
2016-04-25,월,2643,96,201,281,0.0,1227.0,528.0,땅콩죽/쌀밥,차돌박이찌개,김구이,쌀밥/잡곡밥,콩나물국,돈간장불고기,쌀밥/잡곡밥,알탕,순살깐풍기
2016-04-26,화,2643,51,227,304,0.0,795.0,568.0,녹두죽/쌀밥,연두부탕,열무나물,쌀밥/잡곡밥,쇠고기무국,주꾸미볶음,짜장덮밥,맑은국,쇠고기퀘사디아
2016-04-27,수,2643,71,234,0,0.0,1028.0,490.0,닭죽/쌀밥,매운어묵국,감자채볶음,나물비빔밥,미소장국,궁중떡찜,쌀밥/잡곡밥,청국장찌개,코다리무조림
2016-04-28,목,2643,56,269,196,0.0,811.0,508.0,표고버섯죽/쌀밥,우거지해장국,마늘쫑볶음,쌀밥/잡곡밥,미역국,양념파닭,참치주먹밥,비빔메밀국수,가쯔오장국
2016-04-29,금,2643,139,282,28,0.0,652.0,507.0,김치죽/쌀밥,우렁살된장국,진미채무침,쌀밥/잡곡밥,돈육김치찌개,미트볼조림,쌀밥/잡곡밥,들깨버섯탕,고추잡채*꽃빵
2016-05-02,월,2635,80,214,302,0.0,1242.0,551.0,야채죽/쌀밥,호박젓국찌개,김자반,쌀밥/잡곡밥,시금치국,닭갈비,쌀밥/잡곡밥,북어국,고추장불고기
2016-05-03,화,2635,65,251,292,0.0,964.0,515.0,팥죽/쌀밥,재첩국,오이도라지무침,곤드레밥,무채국,모둠장조림,쌀밥/잡곡밥,부대찌개*라면사리,탕수육
2016-05-04,수,2635,150,244,0,0.0,723.0,636.0,밤죽/쌀밥,콩나물김치국,브로컬리들깨찜,쌀밥/잡곡밥,쇠고기샤브국,오징어볶음,카레덮밥,미소장국,수제미니햄버거
2016-05-09,월,2635,101,233,344,0.0,1216.0,591.0,호두죽/쌀밥,들깨미역국,진미채무침,쌀밥/잡곡밥,매운어묵국,훈제오리구이,쌀밥/잡곡밥,닭개장,가자미튀김
2016-05-10,화,2635,53,252,350,0.0,1008.0,519.0,브로컬리죽/쌀밥,근대국,감자채볶음,쌀밥/잡곡밥,콩나물국,버섯불고기,김치볶음밥/계란,가쯔오국,찹쌀순대볶음
2016-05-11,수,2635,60,266,0,0.0,915.0,423.0,홍게살죽/쌀밥,느타리버섯국,호박나물,단호박영양밥,시래기된장국,돈육칠리강정,쌀밥/잡곡밥,콩비지찌개,해물누룽지탕
2016-05-12,목,2635,71,274,315,0.0,753.0,532.0,야채죽/쌀밥,북어계란국,취나물,쌀밥/잡곡밥,오징어국,찜닭,돈까스김밥,잔치국수,멕시칸샐러드
2016-05-13,금,2635,185,268,80,0.0,761.0,517.0,흑임자죽/쌀밥,아욱국,노각무침,쌀밥/잡곡밥,된장찌개,매운돼지갈비찜,쌀밥/잡곡밥,쇠고기무국,코다리강정
2016-05-16,월,2635,99,216,368,0.0,1180.0,594.0,잣죽/쌀밥,연두부탕,김자반,쌀밥/잡곡밥,감자고추장찌개,돈육굴소스볶음,쌀밥/잡곡밥,닭곰탕,주꾸미볶음
2016-05-17,화,2635,41,254,377,0.0,899.0,633.0,새우살죽/쌀밥,콩나물국,느타리볶음,쌀밥/잡곡밥,들깨버섯탕,고등어김치말이,유부초밥,우동,떡볶이
2016-05-18,수,2635,71,257,0,0.0,856.0,456.0,쇠고기죽/쌀밥,민물새우찌개,어묵볶음,산채비빔밥,미소장국,치킨핑거,쌀밥/잡곡밥,뼈해장국,황태양념구이
2016-05-19,목,2635,65,266,264,0.0,898.0,529.0,양송이죽/쌀밥,대구찌개,명엽채무침,쌀밥/잡곡밥,열무된장국,미니채소떡갈비,새우살볶음밥,팽이장국,사천식탕수육
2016-05-20,금,2635,169,287,56,0.0,653.0,487.0,단호박죽/쌀밥,근대국,머위대나물,쌀밥/잡곡밥,순두부찌개,닭오븐구이,쌀밥/잡곡밥,육개장,꽁치허브구이
2016-05-23,월,2635,88,203,362,0.0,1160.0,613.0,땅콩죽/쌀밥,얼갈이된장국,미역레몬초무침,쌀밥/잡곡밥,북어콩나물국,쇠고기불고기,쌀밥/잡곡밥,수제비국,데리야끼파닭
2016-05-24,화,2635,74,234,310,0.0,1107.0,465.0,녹두죽/쌀밥,콩나물국,김구이,쌀밥/잡곡밥,한방갈비탕,꼬지삼색전,참치회덮밥,맑은국,고구마치즈구이
2016-05-25,수,2635,72,258,0,0.0,938.0,454.0,김치죽/쌀밥,올갱이아욱국,검정콩조림,낙지볶음밥,미역장국,탕수어,쌀밥/잡곡밥,된장찌개,등갈비김치찜
2016-05-26,목,2635,64,285,227,0.0,783.0,520.0,소라살죽/쌀밥,어묵국,마늘쫑무침,쌀밥/잡곡밥,쇠고기해장국,갈치구이,짜장잡채밥,계란파국,춘권*칠리소스
2016-05-27,금,2635,163,291,61,0.0,660.0,493.0,밤죽/쌀밥,피바지락국,브로컬리초장,쌀밥/잡곡밥,배추된장국,닭양념조림,쌀밥/잡곡밥,꽃게탕,돈육청경채볶음
2016-05-30,월,2635,73,215,291,0.0,1231.0,631.0,흑임자죽/쌀밥,미역국,멸치캐슈넛볶음,쌀밥/잡곡밥,콩나물김치국,누룽지탕수육,쌀밥/잡곡밥,해물순두부찌개,미니함박조림
2016-05-31,화,2635,50,250,185,0.0,921.0,535.0,새우살죽/쌀밥,쇠고기무국,가지나물,쌀밥/잡곡밥,근대된장국,닭갈비,참치주먹밥,쌀국수,수제고로케*케찹
2016-06-01,수,2637,75,245,0,0.0,916.0,490.0,팥죽/쌀밥,홍초콩나물국,김자반,열무비빔밥,강된장찌개,오징어튀김,쌀밥/잡곡밥,어묵국,고추장불고기
2016-06-02,목,2637,81,258,301,0.0,850.0,483.0,야채죽/쌀밥,황태국,애호박나물,쌀밥/잡곡밥,오이미역냉국,모둠장조림,날치알볶음밥,유부장국,고추잡채*꽃빵
2016-06-03,금,2637,191,268,64,0.0,721.0,548.0,홍게살죽/쌀밥,무채국,사각어묵무침,쌀밥/잡곡밥,차돌박이찌개,찜닭,쌀밥/잡곡밥,시래기국,수제돈까스
2016-06-07,화,2637,115,192,389,0.0,1244.0,629.0,견과류죽/쌀밥,두부김치국,명엽채무침,쌀밥/잡곡밥,북어계란국,돈육굴소스볶음,콩나물밥*양념장,가쯔오장국,미트볼케찹조림
2016-06-08,수,2637,58,240,0,0.0,931.0,500.0,고구마죽/쌀밥,아욱국,오이생채,쌀밥/잡곡밥,참치김치찌개,순살깐풍기,쌀밥/잡곡밥,육개장,자반고등어구이
2016-06-09,목,2637,69,252,359,0.0,829.0,506.0,늙은호박죽/쌀밥,느타리버섯국,숙주나물,쌀밥/잡곡밥,매운콩나물국,돼지갈비찜,충무김밥,열무물국수,오징어무침
2016-06-10,금,2637,151,270,61,0.0,697.0,509.0,참치야채죽/쌀밥,꽃게탕,취나물,쌀밥/잡곡밥,된장찌개,오징어볶음,쌀밥/잡곡밥,어묵국,버섯불고기
2016-06-13,월,2637,98,209,415,0.0,1243.0,590.0,잣죽/쌀밥,쇠고기무국,멸치고추장무침,쌀밥/잡곡밥,북어콩나물국,제육볶음,쌀밥/잡곡밥,들깨버섯탕,삼치데리야끼구이
2016-06-14,화,2637,56,241,432,0.0,973.0,593.0,녹두죽/쌀밥,동태찌개,새송이버섯볶음,쌀밥/잡곡밥,배추된장국,닭양념조림,오므라이스,미소장국,훈제오리냉채
2016-06-15,수,2637,60,260,0,0.0,984.0,535.0,쇠고기죽/쌀밥,시금치국,감자채볶음,카레덮밥,맑은국,떡갈비조림,쌀밥/잡곡밥,닭개장,해물청경채볶음
2016-06-16,목,2637,73,263,336,0.0,800.0,524.0,표고버섯죽/쌀밥,콩나물국,고구마순나물,쌀밥/잡곡밥,부대찌개,가자미양념찜,유부초밥,냉모밀국수,치킨핑거*요거트D
2016-06-17,금,2637,165,291,60,0.0,694.0,484.0,닭죽/쌀밥,우거지해장국,느타리호박볶음,쌀밥/잡곡밥,꽃게탕,돈육강정,쌀밥/잡곡밥,소고기미역국,유산슬
2016-06-20,월,2637,101,257,344,0.0,1146.0,585.0,야채죽/쌀밥,근대된장국,진미채무침,쌀밥/잡곡밥,어묵국,레몬탕수육,쌀밥/잡곡밥,호박잎찌개,쇠불고기
2016-06-21,화,2637,49,248,349,0.0,1091.0,645.0,흑임자죽/쌀밥,김치콩나물국,김자반,쌀밥/잡곡밥,대구찌개,간장치킨,김밥/맑은국,비빔국수,콘샐러드
2016-06-22,수,2637,47,258,0,0.0,1022.0,467.0,팥죽/쌀밥,오징어국,노각무침,쌀밥/잡곡밥,시래기국,돈삼겹보쌈,쌀밥/잡곡밥,닭곰탕,찹쌀순대볶음
2016-06-23,목,2637,53,271,346,0.0,877.0,588.0,홍게살죽/쌀밥,북어계란국,검정콩조림,쌀밥/잡곡밥,쇠고기무국,매콤낙지볶음,작은밥/맑은국,토마토스파게티,양송이스프
2016-06-24,금,2637,169,284,52,0.0,805.0,475.0,밤죽/쌀밥,된장찌개,비름나물,쌀밥/잡곡밥,도토리묵냉국,목살데리야끼구이,쌀밥/잡곡밥,순두부찌개,해물누룽지탕
2016-06-27,월,2637,96,227,300,0.0,1142.0,609.0,땅콩죽/쌀밥,북어콩나물국,쥐어채무침,쌀밥/잡곡밥,배추된장국,훈제오리구이,쌀밥/잡곡밥,김치찌개,모둠장조림
2016-06-28,화,2637,63,253,226,0.0,917.0,535.0,녹두죽/쌀밥,새우살미역국,느타리볶음,쌀밥/잡곡밥,육개장,고등어구이,볶음밥/짜장소스,계란국,탕수만두
2016-06-29,수,2637,67,248,0,0.0,820.0,487.0,잣죽/쌀밥,동태찌개,애호박나물,쌀밥/잡곡밥,콩나물국,간장돼지갈비찜,쌀밥/잡곡밥,청국장찌개,아귀콩나물찜
2016-06-30,목,2637,76,247,151,0.0,886.0,446.0,단호박죽/쌀밥,소고기무국,가지나물,쌀밥/잡곡밥,버섯들깨찌개,닭오븐구이,주먹밥,김치말이국수,감자버터구이
2016-07-01,금,2643,145,215,41,0.0,879.0,513.0,브로컬리죽/쌀밥,시금치국,볼어묵조림,쌀밥/잡곡밥,수제비국,유자청제육볶음,쌀밥/잡곡밥,차돌박이된장찌개,깐풍기
2016-07-04,월,2643,88,190,385,0.0,1292.0,582.0,호두죽/쌀밥,무채국,두부조림,쌀밥/잡곡밥,감자고추장찌개,버섯불고기,쌀밥/잡곡밥,열무된장국,닭볶음탕
2016-07-05,화,2643,55,226,376,0.0,952.0,551.0,표고버섯죽/쌀밥,꽃게탕,시금치나물,쌀밥/잡곡밥,쇠고기미역국,꽁치김치말이찜,굴소스파인볶음밥,맑은국,탕수어
2016-07-06,수,2643,56,224,0,0.0,939.0,484.0,닭죽/쌀밥,느타리버섯국,명엽채무침,곤드레밥,가쯔오장국,닭강정,쌀밥/잡곡밥,시금치국,오징어볶음
2016-07-07,목,2643,64,238,340,0.0,857.0,494.0,쇠고기죽/쌀밥,김치콩나물국,멸치호두볶음,쌀밥/잡곡밥,된장찌개,갈치조림,쌀밥/잡곡밥,함박스테이크,단호박스프
2016-07-08,금,2643,155,260,60,0.0,863.0,534.0,김치죽/쌀밥,근대국,머위대나물,쌀밥/잡곡밥,우무묵냉국,갈릭돈까스,쌀밥/잡곡밥,알탕,고추잡채*꽃빵
2016-07-11,월,2643,121,210,366,0.0,1115.0,630.0,흑임자죽/쌀밥,감자국,마늘쫑볶음,쌀밥/잡곡밥,호박잎찌개,돈육굴소스볶음,쌀밥/잡곡밥,부대찌개,가자미튀김
2016-07-12,화,2643,72,223,382,0.0,919.0,519.0,홍게살죽/쌀밥,쇠고기무국,숙주미나리나물,쌀밥/잡곡밥,건새우아욱국,순살파닭,볶음밥,쌀국수,수제핫도그
2016-07-13,수,2643,79,241,0,0.0,866.0,483.0,참치야채죽/쌀밥,대구찌개,고구마순나물,나물비빔밥,오이냉국,사천식탕수육,쌀밥/잡곡밥,쇠고기샤브국,황태양념구이
2016-07-14,목,2643,84,252,308,0.0,781.0,550.0,새송이죽/쌀밥,새알미역국,진미채무침,쌀밥/잡곡밥,배추된장국,매운주꾸미볶음,멸치주먹밥,물냉면,과일샐러드
2016-07-15,금,2643,189,261,55,0.0,867.0,503.0,팥죽/쌀밥,두부김치국,김자반,쌀밥/잡곡밥,북어계란국,등갈비김치찜,쌀밥/잡곡밥,오징어국,쇠고기장조림
2016-07-18,월,2643,126,208,343,0.0,1158.0,596.0,땅콩죽/쌀밥,시금치국,명엽채무침,쌀밥/잡곡밥,순두부찌개,돈육떡강정,쌀밥/잡곡밥,느타리버섯국,고등어카레구이
2016-07-19,화,2643,111,233,263,0.0,888.0,424.0,녹두죽/쌀밥,어묵국,콩자반,쌀밥/잡곡밥,시래기국,목살데리야끼,콩나물밥,맑은국,너비아니*부추생채
2016-07-20,수,2643,124,238,0,0.0,844.0,443.0,양송이죽/쌀밥,무채국,오이무침,쌀밥/잡곡밥,사골우거지탕,미트볼조림,쌀밥/잡곡밥,동태찌개,치킨핑거
2016-07-21,목,2643,115,255,263,0.0,733.0,446.0,해물죽/쌀밥,근대된장국,버섯볶음,쌀밥/잡곡밥,우묵콩국,고추장불고기,볶음밥*자장소스,계란파국,유산슬
2016-07-22,금,2643,251,272,47,0.0,661.0,501.0,닭죽/쌀밥,북어계란국,멸치볶음,참치회덮밥,미소장국,고구마치즈구이,쌀밥/잡곡밥,돈육김치찌개,깐풍기
2016-07-25,월,2643,277,180,247,0.0,1086.0,584.0,누룽지탕/쌀밥,민물새우찌개,김실파무침,쌀밥/잡곡밥,쇠고기미역국,불닭볶음,쌀밥/잡곡밥,콩가루배추국,돈까스
2016-07-26,화,2643,260,185,269,0.0,927.0,582.0,김치죽/쌀밥,바지락콩나물국,시래기나물,쌀밥/잡곡밥,청국장찌개,미니채소떡갈비,충무김밥,잔치국수,오징어무침
2016-07-27,수,2643,299,192,0,0.0,872.0,423.0,누룽지탕/쌀밥,고추장찌개,브로컬리들깨찜,쌀밥/잡곡밥,시금치국,동파삼겹수육,쌀밥/잡곡밥,어묵국,닭볶음탕
2016-07-28,목,2643,340,204,197,0.0,816.0,434.0,새우살죽/쌀밥,감자국,숙주나물,쌀밥/잡곡밥,꽃게탕,훈제오리냉채,카레라이스,맑은국,순대야채볶음
2016-07-29,금,2643,486,207,36,0.0,671.0,472.0,쇠고기죽/쌀밥,북어국,애호박나물,연복풍덮밥,도토리묵냉국,꽁치오븐구이,쌀밥/잡곡밥,아욱국,등뼈묵은지찜
2016-08-01,월,2644,512,109,238,0.0,1055.0,510.0,보리누룽지탕/쌀밥,근대국,사각어묵볶음,쌀밥/잡곡밥,부대찌개*라면사리,갈치구이,쌀밥/잡곡밥,콩나물국,소불고기
2016-08-02,화,2644,460,167,268,0.0,829.0,515.0,단호박죽/쌀밥,오징어국,새송이볶음,열무보리비빔밥,팽이장국,꽃맛살볶음,쌀밥/잡곡밥,짬뽕수제비국,모둠장조림
2016-08-03,수,2644,485,183,0,0.0,802.0,363.0,누룽지탕/쌀밥,차돌박이찌개,김자반,쌀밥/잡곡밥,버섯들깨탕,레몬탕수육,주먹밥,냉모밀국수,소고기퀘사디아
2016-08-04,목,2644,467,200,262,0.0,671.0,456.0,야채죽/쌀밥,느타리버섯국,크랜베리멸치볶음,쌀밥/잡곡밥,복숭아미역냉국,닭데리야끼조림,오므라이스,가쯔오장국,떡볶이
2016-08-05,금,2644,538,212,46,0.0,641.0,448.0,홍게살죽/쌀밥,동태찌개,아삭고추무침,쌀밥/잡곡밥,된장찌개,매콤돼지갈비찜,쌀밥/잡곡밥,쇠고기무국,쭈꾸미볶음
