0,1,2,3
쌀밥/잡곡밥,오징어국,쇠고기장조림,어묵볶음
쌀밥/잡곡밥,느타리버섯국,고등어카레구이,비엔나감자볶음
콩나물밥,맑은국,너비아니*부추생채,실곤약초무침
쌀밥/잡곡밥,동태찌개,치킨핑거,버섯메밀전
볶음밥*자장소스,계란파국,유산슬,크랜베리단호박샐러드
쌀밥/잡곡밥,돈육김치찌개,깐풍기,옥수수전
쌀밥/잡곡밥,콩가루배추국,돈까스,꽈리고추어묵조림
충무김밥,잔치국수,오징어무침,열대과일샐러드
쌀밥/잡곡밥,어묵국,닭볶음탕,모둠버섯볶음
카레라이스,맑은국,순대야채볶음,연두부*양념
쌀밥/잡곡밥,아욱국,등뼈묵은지찜,해물파전
쌀밥/잡곡밥,콩나물국,소불고기,날치알계란찜
쌀밥/잡곡밥,짬뽕수제비국,모둠장조림,가자미찜
주먹밥,냉모밀국수,소고기퀘사디아,단무지/락교
오므라이스,가쯔오장국,떡볶이,양장피잡채
쌀밥/잡곡밥,쇠고기무국,쭈꾸미볶음,두부구이*양념장
쌀밥/잡곡밥,북어국,찜닭,탕평채
작은밥,콩국수,멕시칸샐러드,찐감자/수박
쌀밥/잡곡밥,닭개장,해물청경채볶음,옥수수전
볶음밥,스파게티/크림스프,치킨텐더,마늘바게뜨/음료
쌀밥/잡곡밥,김치찌개,삼치된장구이,모듬소세지구이
김밥볶음밥,미소장국,과일샐러드,비빔야채만두
쌀밥/잡곡밥,콩비지찌개,돈육굴소스볶음,날치알계란찜
유부초밥,김치우동,왕새우튀김,단무지
쌀밥/잡곡밥,된장찌개,훈제오리/무쌈/양파절임,감자카레볶음
쌀밥/잡곡밥,무채국,돈육볶음,볼어묵조림
김치볶음밥,유부장국,허니버터옥수수,닭가슴살장조림
쌀밥/잡곡밥,감자국,등갈비김치찜,해파리냉채
콩국수,작은밥,춘권,단호박조림
쌀밥/잡곡밥,콩나물냉국,주꾸미볶음,메밀전병만두
쌀밥/잡곡밥,차돌박이찌개,닭갈비,새송이버섯전
굴소스해물볶음밥,맑은국,수제고로케*케찹,망고드레싱샐러드
쌀밥/잡곡밥,청국장찌개,깐풍육,황태양념구이
참치주먹밥,로제파스타/스프,고구마치즈구이,오이피클/절인고추
쌀밥/잡곡밥,알탕,돈육장조림,새싹두부구이
쌀밥/잡곡밥,어묵국,제육볶음,실곤약흑임자무침
볶음밥/짜장소스,유부장국,멕시칸샐러드,찹쌀도너츠
쌀밥/잡곡밥,얼갈이된장국,닭오븐구이,김치녹두전
김밥,잔치국수,새우까스*타르타르,꽃맛살샐러드
쌀밥/잡곡밥,쇠고기미역국,자반고등어구이,미트볼케찹조림
볶음밥,쌀국수,미니햄버거,요플레
쌀밥/잡곡밥,참치김치찌개,주꾸미볶음,모듬묵*양념장
쌀밥/잡곡밥,수제비국,탕평채,탕평채
콩나물밥,맑은국,장어강정,마늘쫑볶음
쌀밥/잡곡밥,고추장찌개,쇠고기모둠장조림,해물파전
유부초밥,꼬지어묵우동,모듬떡볶이,맛탕
쌀밥/잡곡밥,콩나물국,수제돈까스,통도라지구이
쌀밥/잡곡밥,무채맑은국,갈치조림,두부계란부침
쇠고기숙주규동덮밥,미소장국,탕수어,또띠아칩
쌀밥/잡곡밥,조갯살미역국,미니채소떡갈비,홍어채무침
충무김밥,잔치국수,오징어무침,군고구마
쌀밥/잡곡밥,근대된장국,돈육강정,계란찜
쌀밥/잡곡밥,콩비지찌개,닭볶음,해파리냉채
쌀밥/잡곡밥,순두부찌개,미니함박조림,실곤약초무침
작은밥,짬뽕,군만두,과일샐러드
쌀밥/잡곡밥,육개장,코다리엿장조림,옥수수전
쌀밥/잡곡밥,콩나물국,돈육굴소스볶음,삼치조림
김치볶음밥,미소장국,궁중떡볶음,옥수수맛탕
쌀밥/잡곡밥,황태국,닭오븐구이,비엔나감자볶음
통새우김밥,어묵우동,찹쌀순대볶음,단무지무침
쌀밥/잡곡밥,부대찌개,탕수어,두부새싹구이
쌀밥/잡곡밥,해물된장찌개,닭매운찜,고기전
나가사키면&김,참치주먹밥,개성감자만두,꽃맛살샐러드
쌀밥/잡곡밥,어묵국,돼지갈비찜,오징어&브로컬리숙회
옛날왕돈까스,옥수수스프,샐러드파스타,감자치즈오븐구이
쌀밥/잡곡밥,닭개장,해물청경채볶음,두부양념조림
쌀밥/잡곡밥,북어계란국,닭강정,해파리냉채
오므라이스,가쯔오장국,훈제오리냉채,메추리알조림
쌀밥/잡곡밥,쇠고기샤브국,가자미찜,진미채무침
쌀밥/잡곡밥,바지락수제비,유산슬,멕시칸샐러드
쌀밥/잡곡밥,오징어국,떡갈비조림,마파두부
쌀밥/잡곡밥,부대찌개,삼치구이,돈육잡채
짜장덮밥,해물짬뽕,군만두,과일샐러드
쌀밥/잡곡밥,청국장찌개,동파삼겹수육,마늘쫑볶음
참치회덮밥,미소장국,새우또띠아/음료,콘샐러드
쌀밥/잡곡밥,순두부찌개,돈육굴소스볶음,황태양념구이
쌀밥/잡곡밥,목살김치찌개,가자미튀김,비엔나감자볶음
낙지볶음덮밥,맑은국,언양식불고기,꽃맛살샐러드
쌀밥/잡곡밥,뼈해장국,고등어양념구이,두부양념찜
김밥,계란국,해물볶음우동,비빔야채만두
쌀밥/잡곡밥,닭곰탕,미트볼떡조림,도토리묵무침
쌀밥/잡곡밥,콩나물국,매운돼지갈비찜,메추리알곤약조림
굴소스해물볶음밥,미소장국,미니햄버거,쫄면야채무침
쌀밥/잡곡밥,동태찌개,수제돈까스,통도라지구이
생선초밥,우동,떡볶이,하와이안샐러드
쌀밥/잡곡밥,육개장,탕수어,해파리겨자채
쌀밥/잡곡밥,황태국,등갈비김치찜,궁중떡볶음
후난식볶음밥,팽이장국,새우까스*탈탈소스,찹쌀순대볶음
쌀밥/잡곡밥,소고기미역국,쭈꾸미볶음,고기전
멸치주먹밥,잔치국수,또띠아피자,브로컬리꽃맛살샐러드
쌀밥/잡곡밥,된장찌개,장어강정,옥수수전
쌀밥/잡곡밥,시금치된장국,닭강정,꽁치한마리구이
참치주먹밥,짬뽕,야채튀김,홍시드레싱샐러드
*,,,
김치볶음밥,미소장국,수제고로케*케찹,갈비만두
쌀밥/잡곡밥,오징어국,미니함박조림,연두부*양념장
쌀밥/잡곡밥,매운감자국,소고기숙주볶음,코다리엿장조림
유부초밥,쌀국수,단호박조림,핫도그/음료
쌀밥/잡곡밥,부대찌개,유린기,잔멸치볶음
김밥,계란국,해물볶음우동,과일샐러드
쌀밥/잡곡밥,쇠고기무국,주꾸미볶음,모듬묵*양념장
쌀밥/잡곡밥,대구지리,유산슬,동그랑땡전
주먹밥,양송이스프,토마토스파게티,새우또띠아
쌀밥/잡곡밥,매생이굴국,간장찜닭,녹두전(김치)
오므라이스,팽이장국,해물떡볶이,호빵/식혜
쌀밥/잡곡밥,미역국,등갈비김치찜,들깨버섯무침
쌀밥/잡곡밥,육개장,탕수어,쫄면야채무침
충무김밥,잔치국수,오징어무침,고구마치즈구이
쌀밥/잡곡밥,알탕,돈육장조림,해물파전
작은밥,바지락수제비,사천식탕수육,메추리알조림
쌀밥/잡곡밥,돈육김치찌개,궁중떡볶음,고등어카레구이
쌀밥/잡곡밥,청국장찌개,가자미양념찜,훈제오리냉채
해물굴소스볶음밥,맑은국,돈육강정,흑임자시금치샐러드
*,,,
참치주먹밥,김치우동,쇠고기퀘사디아,구운채소
쌀밥/잡곡밥,봄동된장국,닭볶음탕,꼬막찜
쌀밥/잡곡밥,매운오징어국,목살간장조림,두부부침
참치회덮밥,유부주머니국,수제고로케,멕시칸샐러드
쌀밥/잡곡밥,감자찌개,닭데리야끼구이,새송이버섯볶음
마파두부덮밥,팽이장국,류산슬,비빔야채만두
쌀밥/잡곡밥,들깨무채국,등갈비묵은지찜,모듬소세지구이
쌀밥/잡곡밥,콩비지찌개,양파치킨,도토리묵무침
김치참치주먹밥,가쯔오국,로제스파게티,딸기드레싱샐러드
쌀밥/잡곡밥,해물된장찌개,제육볶음,메밀전병만두
쌀밥/잡곡밥,뼈감자탕,삼치된장구이,해파리냉채
쌀밥/잡곡밥,시래기국,소고기장조림,김치전
쌀밥/잡곡밥,감자국,매운돼지갈비찜,크랜베리멸치볶음
후난식볶음밥,맑은국,닭강정,고구마그라탕
쌀밥/잡곡밥,쇠고기샤브국,갈치양념조림,쫄면무침
김밥,새우튀김우동,펜네베이컨샐러드,단무지무침
쌀밥/잡곡밥,부대찌개,해물청경채볶음,부추호박전
쌀밥/잡곡밥,쇠고기매운국,버섯탕수,꽁치한마리구이
멸치주먹밥,잔치국수,쇠고기퀘사디아,시금치흑임자샐러드
*,,,
쌀밥/잡곡밥,시래기들깨탕,돈육강정,메추리알곤약조림
김치볶음밥,꼬지어묵우동,해물까스*탈탈소스,콘샐러드
쌀밥/잡곡밥,차돌박이찌개,장어강정,어묵꽈리고추볶음
쇠고기덮밥,장국,야채튀김,메쉬드포테이토
쌀밥/잡곡밥,소고기무국,고등어김치말이,동그랑땡전
쌀밥/잡곡밥,사골우거지국,탕수어,모듬소세지구이
쌀밥/잡곡밥,순두부찌개,돈육굴소스볶음,해물파전
쌀밥/잡곡밥,열무된장국,삼겹살구이,두부찜
유부초밥,쌀국수,순대오징어볶음,푸실리샐러드
쌀밥/잡곡밥,청국장찌개,미니함박조림,감자채볶음
쌀밥/잡곡밥,부대찌개,고등어구이,비엔나감자볶음
짜장덮밥,맑은국,사천식탕수육,과일샐러드
쌀밥/잡곡밥,오징어국,돈육장조림,황태양념구이
오므라이스,가쯔오장국,치킨텐더,떡볶이
쌀밥/잡곡밥,콩비지찌개,고추잡채*꽃빵,계란말이
쌀밥/잡곡밥,얼갈이된장국,간장찜닭,콩나물냉채
날치알김치볶음밥,미역장국,쇠고기퀘사디아,꽃맛살샐러드
*,,,
참치주먹밥,김치우동,케이준샐러드,단호박범벅
쌀밥/잡곡밥,쇠고기샤브국,가자미양념찜,고기전
쌀밥/잡곡밥,황태국,짬뽕불고기,연두부*양념장
김밥,꼬치어묵탕,쫄면야채무침,옥수수맛탕
후난식볶음밥,잔치국수,새우또띠아,견과류조림
쌀밥/잡곡밥,해물된장찌개,소고기모듬장조림,비엔나케찹볶음
쌀밥/잡곡밥,김치두부국,쇠불고기,모듬묵*양념장
참치야채비빔밥,맑은국,수제고로케,딸기생크림와플
쌀밥/잡곡밥,차돌박이찌개,코다리강정,돈육잡채
김밥볶음밥,팽이장국,볶음우동,봄나물튀김
쌀밥/잡곡밥,미역국,제육볶음(빨갛게),궁중떡찜
쌀밥/잡곡밥,육개장,갈치조림,모듬소시지구이
콩나물밥,가쯔오장국,주꾸미볶음,메추리알조림
쌀밥/잡곡밥,북어계란국,등갈비김치찜,새싹두부구이
멸치주먹밥,김치말이국수,훈제오리냉채,꽃맛살샐러드
쌀밥/잡곡밥,열무된장국,미니함박조림,마파두부
쌀밥/잡곡밥,매운버섯국,누룽지탕수육,브로컬리오징어숙회
베이컨김치볶음밥,미소장국,로제파스타,크림새우
*,,,
통새우김밥,짬뽕,고구마치즈구이,콘샐러드
쌀밥/잡곡밥,연두부탕,닭강정,카레감자채볶음
쌀밥/잡곡밥,부대찌개,고등어구이,해파리냉채
해물볶음밥,맑은국,비빔메밀국수,멕시칸샐러드
쌀밥/잡곡밥,우거지탕,돈까스,꽈리고추어묵조림
충무김밥,유부우동,오징어무침,핫도그&케찹
쌀밥/잡곡밥,봄동된장국,동태콩나물찜,궁중떡볶음
쌀밥/잡곡밥,콩비지찌개,가자미카레튀김,고기전
참치주먹밥,쌀국수,오징어순대볶음,시금치흑임자샐러드
쌀밥/잡곡밥,미역장국,유자청돈육볶음,두부계란부침
김치볶음밥/계란,유부주머니국,쇠고기퀘사디아,펜네베이컨샐러드
쌀밥/잡곡밥,매운어묵국,순살닭갈비,비엔나감자볶음
쌀밥/잡곡밥,무채국,치즈시즈닝치킨,해물김치전
쌀밥/잡곡밥,카레돈까스정식,미소장국,블루베리드레싱샐러드
쌀밥/잡곡밥,순두부찌개,삼치구이,메밀전병만두
유부초밥,잔치국수,수제핫도그,시리얼과일샐러드
쌀밥/잡곡밥,청국장찌개,돈육장조림,황태양념구이
쌀밥/잡곡밥,쇠고기무국,고등어조림,동그랑땡계란부침
나가사끼짬뽕,야채볶음밥,치킨핑거*요거트D,또띠아칩
쌀밥/잡곡밥,닭개장,갈치구이,햄감자채볶음
오므라이스,가쯔오장국,떡볶이,고구마치즈구이
쌀밥/잡곡밥,열무된장국,돈육강정,연두부*양념장
쌀밥/잡곡밥,오징어국,쇠고기숙주볶음,두부오꼬노미야끼
멸치주먹밥,양송이스프,토마토스파게티,꽃맛살샐러드
*,,,
닭갈비볶음밥,어묵국,크림카레우동,왕만두
쌀밥/잡곡밥,얼갈이된장국,주꾸미떡볶음,모듬소세지구이
쌀밥/잡곡밥,순두부찌개,돈육굴소스볶음,계란찜
야채볶음밥,유부주머니국,미니버거,야채비빔만두
쌀밥/잡곡밥,육개장,꽁치오븐구이,꽃맛살볶음
쌀밥/잡곡밥,연두부탕,닭오븐구이,해물김치전
볶음밥/짜장소스,맑은국,사천식탕수육,망고드레싱샐러드
쌀밥/잡곡밥,청국장찌개,돼지갈비찜,계란말이
쌀밥/잡곡밥,닭개장,가자미카레튀김,연근땅콩조림
꼬마김밥*겨자장,잔치국수,감자만두,멕시칸샐러드
쌀밥/잡곡밥,차돌박이찌개,갈치양념조림,비엔나컬리플라워볶음
쌀밥/잡곡밥,옛날돈가스,옥수수스프,고구마범벅
쌀밥/잡곡밥,배추된장국,쇠고기숙주볶음,청포묵무침
쌀밥/잡곡밥,연두부찌개,코다리조림,순대야채볶음
볶음밥,짬뽕,탕수육,단무지
쌀밥/잡곡밥,꽃게탕,모둠장조림,해라피겨자채
마파두부덮밥,유부장국,수제고로케,생과일플레인샐러드
쌀밥/잡곡밥,된장찌개,치즈닭갈비,해물까스*칠리소스
쌀밥/잡곡밥,우거지해장국,임연수엿장조림,고기전
김밥,맑은국,쫄면야채무침,오징어튀김
자기계발의날,,,
주먹밥,단호박스프,로제스파게티,샐러드/피클
쌀밥/잡곡밥,새알만두국,팝콘치킨*데리야끼소스,두부새싹구이
쌀밥/잡곡밥,감자고추장찌개,탕수어,우엉잡채
쌀밥/잡곡밥,열무된장국,돼지갈비찜,오징어브로컬리
김밥볶음밥,냉모밀국수,야채튀김,옥수수샐러드
쌀밥/잡곡밥,쇠고기미역국,가자미양념찜,닭살겨자냉채
쌀밥/잡곡밥,된장찌개,돈육강정,옥수수전
참치회덮밥,미소장국,고구마치즈구이,모둠과일
쌀밥/잡곡밥,알탕,미트볼케찹조림,잔멸치볶음
볶음밥,열무김치국수,부추만두,꽃맛살샐러드
쌀밥/잡곡밥,참치김치찌개,쇠고기장조림,올방개묵무침
쌀밥/잡곡밥,감자국,닭데리야끼조림,매운어묵볶음
충무김밥,미역장국,오징어무침,핫도그&케찹
쌀밥/잡곡밥,해물된장찌개,고추잡채*꽃빵,황태양념구이
소고기주먹밥,쌀국수,또띠아피자,흑임자샐러드
쌀밥/잡곡밥,콩비지찌개,탕수어,두부카프레제
쌀밥/잡곡밥,연두부찌개,탕수육,통도라지구이
콩국수,작은밥,탄두리치킨,모둠묵샐러드
*자기계발의날*,,,
빠에야,올챙이만두국,웨지감자,하와이안샐러드
쌀밥/잡곡밥,청국장찌개,장어강정,오꼬노미야끼계란말이
쌀밥/잡곡밥,육개장,고등어카레구이,꽃맛살볶음
후난식볶음밥,가쯔오장국,닭강정,고구마그라탕
쌀밥/잡곡밥,대구찌개,돈육굴소스볶음,김치녹두전
김밥,잔치국수,수제고로케,키위드레싱샐러드
쌀밥/잡곡밥,순두부찌개,해물까스*탈탈소스,탕평채
쌀밥/잡곡밥,감자국,사천식탕수육,건새우마늘쫑볶음
오므라이스,미소장국,새우또띠아,감자범벅
쌀밥/잡곡밥,해물된장찌개,모둠장조림,참치야채전
유부초밥,김치말이국수,풋고추튀김,꽃맛살샐러드
쌀밥/잡곡밥,고추장찌개,미니함박조림,감자채볶음
쌀밥/잡곡밥,꽃게탕,소고기장조림,꽈리고추찜
목살필라프,단호박스프,토마토스파게티,시리얼과일샐러드
쌀밥/잡곡밥,호박잎된장찌개,언양식불고기,코다리강정
카레라이스,유부장국,해물볶음우동,찐햇감자
쌀밥/잡곡밥,육개장,꽁치구이,궁중떡볶이
쌀밥/잡곡밥,콩가루배추국,고추잡채*꽃빵,고등어조림
빠에야,냉모밀국수,비빔야채만두,하와이안샐러드
가정의날,,,
마파두부덮밥,미역장국,탕수육,멕시칸샐러드
쌀밥/잡곡밥,닭개장,생선까스*탈탈소스,감자채볶음
쌀밥/잡곡밥,아욱국,돈육씨앗강정,삼치된장구이
김밥볶음밥,잔치국수,훈제오리냉채,감자범벅
쌀밥/잡곡밥,느타리버섯국,탕수어,견과류조림
콩나물밥,가쯔오장국,쇠고기장조림,실곤약흑임자무침
쌀밥/잡곡밥,차돌박이찌개,치킨텐더,꽃맛살볶음
쌀밥/잡곡밥,근대국,등갈비김치찜,메밀전병만두
해물굴소스볶음밥,가쯔오장국,비빔메밀국수,야채튀김
쌀밥/잡곡밥,뼈해장국,고등어조림,계란말이
멸치주먹밥,물냉면,케이준샐러드,떡볶이
쌀밥/잡곡밥,오징어국,깐풍기,모둠버섯구이
쌀밥/잡곡밥,콩가루배추국,양파치킨,해물파전
쌀밥/잡곡밥,콩나물국,돼지갈비찜,풍기샐러드
김치볶음밥,어묵우동,미니햄버거,단호박범벅
쌀밥/잡곡밥,해물순두부찌개,유자청제육볶음,두부카프레제
쌀밥/잡곡밥,참치김치찌개,안동찜닭,잡채
충무김밥,유부주머니국,오징어무침,파스타샐러드
쌀밥/잡곡밥,청국장찌개,돈육모듬장조림,동그랑땡전
김치주먹밥,콩국수,타코야끼,콥샐러드
쌀밥/잡곡밥,고추장찌개,생선까스*탈탈소스,닭살냉채
쌀밥/잡곡밥,닭곰탕,고등어김치말이,옥수수전
유부초밥,냉모밀국수,깐풍육,꽃맛살샐러드
쌀밥/잡곡밥,부대찌개,해물청경채볶음,메밀전
쌀밥/잡곡밥,옛날돈까스,브로컬리크림스프,키위드레싱샐러드
*,,,
쌀밥/잡곡밥,콩나물김치국,가자미튀김,모듬소세지구이
닭갈비볶음밥,가쯔오장국,크림카레우동,감자만두/샐러드
쌀밥/잡곡밥,해물된장찌개,돈육굴소스볶음,홍어채무침
볶음밥/짜장소스,맑은국,고추잡채*꽃빵,컬리플라워샐러드
쌀밥/잡곡밥,콩비지찌개,유린기,멸치아몬드볶음
쌀밥/잡곡밥,소고기무국,주꾸미굴소스볶음,쫄면무침
김밥,잔치국수,야채튀김,떡볶이
쌀밥/잡곡밥,미역국,돼지갈비찜,볼어묵곤약볶음
빠에야,쌀국수,고구마오븐구이,하와이안샐러드
쌀밥/잡곡밥,된장찌개,돈육간장강정,황태양념구이
쌀밥/잡곡밥,아욱국,후르츠탕수육,골뱅이무침&소면
충무김밥,나가사끼짬뽕,오징어초무침,꽃맛살샐러드
쌀밥/잡곡밥,김치국,해물청경채볶음,늙은호박전
치킨마요덮밥,꼬지어묵탕,수제칠리핫도그,키위드레싱샐러드
쌀밥/잡곡밥,설렁탕,김치전,오징어젓무침
쌀밥/잡곡밥,부대찌개*라면사리,갈치구이,감자채볶음
참치주먹밥,김치우동,오징어튀김,고구마범벅
쌀밥/잡곡밥,된장찌개,미니함박조림,계란말이
오므라이스,맑은장국,돈가스또띠아,마제소바
*,,,
쌀밥/잡곡밥,동태찌개,돈육굴소스볶음,쫄면무침
후난식볶음밥,잔치국수,새우까스*탈탈소스,홍시드레싱샐러드
쌀밥/잡곡밥,순두부찌개,소고기숙주볶음,비엔나감자구이
쌀밥/잡곡밥,어묵국,등갈비김치찜,옥수수전
쌀밥/잡곡밥,콩나물국,닭오븐구이,녹두전
목살필라프,단호박스프,로제스파게티,웨지감자/피클
쌀밥/잡곡밥,얼갈이된장국,소고기모듬장조림,동그랑땡전
산채비빔밥,유부장국,수제고로케,생과일플레인샐러드
쌀밥/잡곡밥,된장찌개,코다리강정,소세지볶음
쌀밥/잡곡밥,수제비국,닭강정,늙은호박전
볶음밥*자장소스,계란파국,떡볶이,고구마그라탕
*,,,
멸치주먹밥,김치국수,소고기퀘사디아,꽃맛살샐러드
쌀밥/잡곡밥,콩비지찌개,가자미카레튀김,닭살겨자냉채
쌀밥/잡곡밥,돈육김치찌개,꽁치구이,고기전
오므라이스,가쯔오장국,해물까스*탈탈소스,꽃맛살볶음
