id,Overall Qual,Gr Liv Area,Exter Qual,Garage Cars,Garage Area,Kitchen Qual,Total Bsmt SF,1st Flr SF,Bsmt Qual,Full Bath,Year Built,Year Remod/Add,Garage Yr Blt,target
88,8,1646,Gd,2,525,Gd,1594,1646,Ex,2,2004,2005,2004,246000
89,5,935,TA,1,288,TA,935,935,TA,1,1965,1965,1965,137000
90,7,1509,Gd,2,393,Gd,783,807,Gd,2,2003,2003,2003,180000
91,8,1953,Gd,3,1043,Gd,1082,1082,Gd,2,2005,2006,2005,252000
92,5,1411,TA,1,310,TA,1204,1411,TA,1,1955,1975,1955,130000
93,6,1686,TA,2,612,TA,1686,1686,Gd,2,1980,1980,1980,207500
94,4,872,TA,4,480,TA,858,872,TA,1,1971,1971,1974,123000
95,9,2772,Ex,3,754,Ex,1776,1794,Ex,3,2007,2007,2007,462000
96,6,1675,Gd,2,435,Gd,1666,1675,Ex,2,1999,2000,1999,195000
97,9,1561,Ex,2,556,Ex,1561,1561,Ex,2,2005,2005,2005,277500
98,6,1495,Gd,2,440,Gd,738,738,Gd,2,2006,2006,2006,171925
99,7,1258,Gd,2,462,Gd,1246,1258,Gd,2,2007,2007,2007,173500
100,7,1266,Gd,2,388,Gd,1266,1266,Gd,2,2007,2007,2007,159895
101,5,1466,TA,2,528,Fa,1466,1466,TA,1,1959,1959,1959,149900
102,5,1524,TA,1,315,TA,874,874,TA,1,1958,1958,1958,144000
103,8,1324,Gd,2,550,Gd,1324,1324,Gd,2,2006,2006,2006,254000
104,6,1187,TA,2,420,TA,1168,1187,Gd,2,1992,2007,1992,185000
105,5,1160,TA,1,257,Gd,1113,1160,TA,1,1968,1968,1968,152500
106,5,1348,TA,1,216,TA,884,884,TA,1,1925,1997,1960,117000
107,5,960,TA,2,624,TA,960,960,TA,1,1958,1958,2002,125000
108,9,2000,Ex,3,722,Ex,1910,2000,Ex,2,2005,2005,2005,470000
109,4,1092,TA,1,253,TA,546,546,TA,1,1972,1972,1972,85500
110,5,2461,Gd,2,400,TA,1140,1929,TA,2,1952,2002,1994,197600
111,8,2956,Gd,3,916,Ex,1706,1718,Gd,2,2004,2004,2004,342000
112,6,1456,Gd,1,308,Gd,728,728,TA,1,1915,2005,1915,139500
113,8,1321,Gd,2,484,Gd,1312,1321,Gd,1,1990,1990,1990,212000
114,7,1368,Gd,2,474,Gd,1368,1368,Gd,2,2005,2006,2005,202665
115,6,1414,Ex,2,601,TA,1184,1414,Gd,1,1958,2002,1990,176500
116,6,1536,TA,1,308,TA,768,768,TA,1,1952,1952,1952,136000
117,8,2232,Gd,2,623,Gd,1173,1215,Gd,2,1993,1994,1993,263550
118,4,1510,TA,1,296,TA,755,755,TA,1,1940,1950,1940,108000
119,8,1670,Gd,3,928,Gd,1670,1670,Ex,2,2006,2006,2006,336820
120,5,1523,TA,1,295,Fa,1067,986,TA,2,1949,2005,1949,158000
121,10,2393,Ex,2,846,Ex,970,1469,Gd,2,1998,1999,1998,345000
122,7,1789,TA,2,546,TA,858,872,TA,2,2001,2001,2001,223000
123,4,1436,TA,2,528,TA,676,760,Gd,2,1910,2000,1950,98000
124,5,965,TA,2,580,TA,870,965,Gd,1,1996,1996,1998,159000
125,7,1836,Gd,2,484,Gd,1860,1836,Gd,2,2004,2005,2004,216837
126,7,2495,TA,2,342,TA,1313,1313,TA,2,1890,1999,1950,184000
127,6,1587,TA,2,525,TA,1587,1587,TA,2,1971,1971,1971,167300
128,5,2601,TA,2,621,TA,612,990,TA,3,1921,1998,1998,189000
129,7,1080,Gd,2,496,Gd,530,530,Gd,2,2003,2003,2003,139000
130,5,936,TA,1,240,TA,936,936,TA,1,1954,1975,1954,121000
131,5,1365,TA,2,440,TA,765,765,TA,1,1971,1971,1971,122500
132,5,912,TA,1,352,TA,912,912,TA,1,1962,1962,1962,144000
133,8,2872,Gd,2,541,Gd,1683,2129,Gd,2,1992,2000,1992,285000
134,5,1112,TA,1,226,TA,585,687,TA,2,1934,1950,1934,63000
135,5,1040,TA,2,484,Gd,1040,1040,Gd,2,1977,2008,1977,150500
136,6,1114,TA,2,576,Gd,1114,1114,Gd,1,2003,2004,2004,155000
137,5,1273,TA,1,307,TA,1273,1273,TA,1,1960,1960,1960,155000
138,5,1389,TA,2,418,TA,1389,1389,Gd,1,1974,1975,1975,170000
139,6,1657,TA,2,484,TA,1657,1657,Gd,2,1970,1970,1970,163500
140,9,1828,Ex,3,774,Gd,1822,1828,Ex,2,2007,2007,2007,314813
141,5,1142,TA,2,528,TA,1142,1142,Gd,1,1976,1976,1976,134000
142,8,2078,Gd,3,836,Ex,1034,1050,Ex,2,2007,2008,2008,339750
143,7,1820,TA,3,816,Gd,910,910,Gd,2,1996,1997,1996,213000
144,5,1480,TA,1,253,TA,1080,1080,TA,1,1951,1994,1951,136500
145,5,1028,TA,2,360,TA,1008,1028,TA,1,1927,1950,1927,115000
146,6,1775,TA,2,480,TA,533,1131,TA,2,1964,1964,1964,136300
147,6,1344,TA,2,525,Gd,819,1344,TA,1,1958,1958,1958,137500
148,6,958,TA,2,440,TA,1078,958,Gd,2,1976,1976,1977,128000
149,6,1482,TA,1,400,Fa,672,810,TA,2,1925,1950,1934,140000
150,6,1716,TA,2,490,TA,858,858,TA,1,1962,1962,1962,171000
151,10,2007,Ex,3,812,Ex,1017,1026,Ex,2,2008,2008,2008,310000
152,7,1969,TA,2,534,TA,808,1161,Gd,2,1977,1977,1977,190000
153,7,1876,Gd,3,848,Gd,1308,1308,Gd,2,2005,2006,2005,229800
154,6,1142,TA,1,384,TA,160,1142,Gd,1,1958,1958,1958,113500
155,6,2142,TA,1,509,Gd,896,1182,Gd,2,1968,1968,1968,193500
156,4,1056,TA,1,384,TA,1056,1056,TA,1,1966,1966,1966,107000
157,5,833,TA,1,326,Gd,833,833,TA,1,1954,2000,1955,117000
158,5,1600,TA,1,319,TA,1484,1600,TA,1,1957,1997,1957,207500
159,4,960,TA,1,288,TA,672,960,TA,1,1956,1956,1956,112000
160,6,1117,TA,2,672,TA,1029,1117,TA,1,1976,1976,1976,107000
161,6,1285,TA,2,528,TA,660,1285,TA,1,1977,1977,1977,143500
162,5,1040,TA,1,264,TA,1040,1040,TA,1,1966,1966,1966,123000
163,8,2389,Gd,3,672,Gd,1054,1054,Ex,2,2006,2006,2006,298236
164,8,2522,Gd,2,564,Gd,2208,2522,Ex,2,2004,2005,2004,375000
165,5,1026,Gd,1,308,TA,1026,1026,Gd,1,1977,2004,1977,150000
166,5,1022,TA,2,747,TA,1022,1022,Gd,1,1994,1994,1995,139500
167,5,1126,TA,2,506,TA,1060,1126,Gd,1,1984,1984,1984,152000
168,6,912,TA,2,470,TA,888,912,Gd,1,1978,1978,1978,156000
169,7,1640,Gd,2,595,Gd,798,798,Gd,2,2003,2003,2003,183000
170,7,1535,Gd,2,532,Gd,1517,1535,Gd,2,2004,2004,2004,214000
171,7,1504,Gd,2,437,Gd,1346,1504,Gd,2,2005,2006,2005,191000
172,8,1550,Gd,2,528,Gd,1550,1550,Gd,2,2006,2007,2007,207500
173,5,845,TA,1,264,Gd,845,845,TA,1,1982,2005,1982,134500
174,7,1612,Gd,3,666,Gd,796,796,Gd,2,2008,2008,2008,218689
175,8,2622,Gd,2,712,Gd,1463,1500,Ex,2,1994,1995,1994,325000
176,7,1394,Gd,2,400,Gd,384,754,Gd,2,2003,2003,2003,165500
177,7,1501,Gd,2,512,Gd,1501,1501,Gd,2,1987,1987,1987,244000
178,8,2020,Gd,2,466,Gd,1128,1142,Gd,2,1995,1995,1995,239500
179,6,1961,TA,2,560,Gd,804,804,Ex,2,2001,2002,2001,215000
180,5,990,TA,1,440,TA,990,990,TA,1,1994,1994,1995,143000
181,5,1001,Gd,1,216,Gd,837,1001,TA,1,1930,2007,1930,124900
182,6,1090,TA,1,240,TA,720,760,Fa,1,1940,2006,1940,120000
183,8,2630,Gd,3,696,Gd,1470,1470,Gd,2,1998,1998,1998,315000
184,6,1724,TA,2,480,TA,1680,1724,Gd,1,1967,1976,1967,197900
185,7,1241,Gd,2,569,Gd,1241,1241,Gd,1,2006,2007,2007,199900
186,6,1514,TA,2,394,TA,794,819,Gd,2,2000,2000,2000,190000
187,8,1874,Gd,2,588,Gd,1058,1058,Gd,2,2000,2001,2000,220000
188,7,1453,TA,2,445,Gd,1453,1453,Gd,1,1986,1986,1986,190000
189,7,1484,Gd,2,606,Gd,1473,1484,Gd,2,2004,2005,2004,213000
190,6,1981,TA,2,522,Gd,1117,1117,Gd,2,1978,1992,1978,230000
191,6,1889,TA,2,431,TA,982,1008,Gd,2,2000,2000,2000,215000
192,6,1806,TA,2,483,TA,780,993,TA,1,1964,1964,1964,144750
193,6,923,TA,1,264,TA,923,923,Gd,2,1980,1980,1980,143000
194,5,1268,TA,1,252,Gd,1268,1268,Gd,1,1977,1989,1978,143500
195,6,1208,Gd,2,546,TA,1208,1208,Gd,1,1977,1977,1977,165000
196,7,1611,Gd,2,572,Gd,784,784,Gd,2,2005,2005,2005,195800
197,7,1414,Gd,2,494,Gd,1414,1414,Gd,2,2004,2004,2004,185500
198,5,1167,TA,2,495,TA,915,1167,TA,1,1920,1950,1972,144000
199,6,1194,TA,2,539,TA,655,1194,TA,1,1959,1959,1954,159500
200,6,1504,Gd,2,440,Gd,752,752,Gd,2,2007,2007,2007,166000
201,5,1464,TA,2,480,TA,520,1464,Gd,2,1963,1999,1997,175000
202,10,2775,Ex,2,880,Gd,1237,1521,TA,3,1893,2000,1988,325000
203,5,909,TA,1,294,TA,882,909,TA,1,1968,1968,1968,116000
204,6,1378,TA,1,162,Gd,901,861,TA,1,1935,1998,1920,128900
205,5,894,TA,1,308,TA,894,894,TA,1,1976,1976,1976,128200
206,7,1146,Gd,2,438,Gd,868,1146,Ex,2,2003,2003,2003,187500
207,7,2514,TA,2,693,TA,1216,1298,Gd,2,1990,1991,1990,250000
208,7,1986,Gd,2,434,Gd,847,847,Gd,2,2003,2003,2003,213000
209,5,1126,TA,2,540,Ex,1126,1126,Gd,2,1977,1977,1977,175000
210,5,1306,TA,2,472,Gd,240,810,TA,1,1910,2003,1959,130000
211,6,1179,TA,2,622,TA,1179,1179,TA,1,1960,1960,1960,110000
212,7,1995,Gd,2,610,Gd,930,950,Gd,2,1995,1996,1995,237000
213,9,1980,Gd,3,770,Ex,1980,1980,Ex,2,2004,2005,2004,315000
214,7,1162,Gd,2,483,Gd,1162,1162,Gd,2,2007,2007,2007,170000
215,7,2519,Gd,2,628,Gd,1210,1238,Gd,2,1989,1990,1989,335000
216,5,1422,TA,2,576,TA,925,1422,TA,1,1970,1990,1988,155000
217,5,1352,TA,1,288,Gd,1062,1352,TA,1,1958,1958,1958,130000
218,8,1874,Gd,3,880,Gd,955,955,Gd,2,2007,2008,2007,297900
219,9,1842,Gd,3,894,Gd,1842,1842,Ex,0,1981,1987,1981,385000
220,7,1055,TA,2,440,TA,1057,1055,Gd,2,1975,1975,1975,123000
221,6,2640,TA,2,515,Gd,932,1271,TA,2,1967,1997,1967,256900
222,8,1660,Gd,2,500,Gd,1660,1660,Ex,2,2006,2006,2006,290000
223,6,1306,Gd,2,624,Gd,1306,1306,Gd,2,2005,2005,2005,196000
224,5,1078,TA,1,264,Ex,1054,1078,TA,1,1925,1950,1987,125000
225,6,1040,TA,1,293,TA,1040,1040,TA,1,1953,1953,1953,136000
226,7,1708,Gd,2,380,Gd,976,976,Gd,2,2004,2004,2004,130000
227,5,1040,TA,1,384,TA,1040,1040,TA,1,1965,1965,1965,129500
228,5,1776,TA,3,888,TA,1584,1776,TA,2,1958,1958,1968,110000
229,6,1776,TA,2,443,TA,821,821,Gd,2,1996,1996,1996,202000
230,7,1374,Gd,2,400,Gd,384,744,Gd,2,2004,2004,2004,175000
231,6,1034,TA,2,504,TA,450,1034,Gd,1,1978,1978,1978,153000
232,6,1211,TA,2,461,Gd,1211,1211,Gd,2,1976,1976,1976,161000
233,3,1162,Gd,1,258,TA,728,728,TA,1,1930,1950,1930,75000
234,6,1302,Gd,2,631,Gd,1302,1302,Gd,1,2005,2006,2005,200000
235,4,747,TA,1,220,TA,747,747,TA,1,1945,1950,1945,80000
236,6,2486,TA,2,576,TA,1595,1611,TA,2,1962,1962,1962,220000
237,8,1646,Gd,3,870,Gd,1638,1646,Gd,2,2006,2007,2007,248900
238,6,1426,TA,2,440,TA,690,698,TA,1,1977,1977,1977,159500
239,7,1506,Gd,2,672,Gd,1494,1506,Gd,2,2005,2006,2005,249000
240,5,1040,TA,1,308,TA,1040,1040,TA,1,1963,1963,1963,133000
241,4,672,TA,1,234,TA,672,672,TA,1,1941,1950,1941,113000
242,8,1786,Gd,3,715,Gd,1778,1786,Ex,2,2002,2003,2002,300000
243,8,1734,Gd,3,928,Ex,1734,1734,Ex,2,2007,2007,2007,318000
244,4,1131,TA,2,672,TA,907,1131,Fa,1,1937,2000,1995,89471
245,7,1374,Gd,2,400,Gd,384,744,Gd,2,2004,2004,2004,167000
246,8,1652,Ex,2,482,Gd,1600,1652,Ex,2,2008,2008,2008,392500
247,4,1844,TA,1,240,TA,709,1157,TA,1,1900,1954,1900,80400
248,6,1811,TA,2,470,Ex,1073,1811,TA,1,1956,2004,1956,230000
249,6,1829,TA,2,535,TA,1829,1829,TA,2,1967,1967,1967,218500
250,6,1190,TA,2,430,Gd,1181,1190,Gd,2,1993,1993,1993,166000
251,8,2340,Gd,3,787,Gd,1236,1236,Gd,2,1996,1996,1996,306000
252,4,875,TA,2,728,Gd,385,875,TA,1,1972,2006,1975,117000
253,5,988,TA,1,276,TA,876,988,TA,1,1950,1950,1950,119000
254,5,793,TA,1,240,Fa,793,793,TA,1,1945,1950,1945,113000
255,8,1564,Gd,2,502,Ex,1546,1564,Gd,2,2006,2007,2207,267300
256,5,1051,TA,1,264,TA,1051,1051,TA,1,1966,1966,1966,124400
257,7,1958,Gd,2,499,Gd,779,1029,Gd,2,1994,2001,1994,220000
258,5,1211,TA,2,576,TA,864,1211,TA,1,1962,2002,1972,144000
259,7,1802,TA,1,216,TA,793,901,Fa,1,1920,1950,1920,200100
260,8,1836,Gd,2,517,Gd,1836,1836,Gd,2,2008,2009,2009,264500
261,6,1314,Gd,2,440,Gd,1314,1314,Gd,2,2006,2006,2006,176432
262,5,1363,Gd,1,288,TA,1008,1363,TA,1,1951,2000,1951,164900
263,7,1548,Gd,2,388,Gd,1365,1548,Gd,2,2004,2004,2004,225000
264,8,2217,Gd,2,621,Gd,2217,2217,TA,2,1970,1970,1970,268000
265,8,1574,Gd,3,824,Gd,1574,1574,Gd,2,2006,2006,2006,232000
266,7,1218,Gd,2,676,Gd,1218,1218,Gd,2,2009,2010,2009,204500
267,7,2149,Gd,2,670,Gd,1434,1518,Ex,1,2003,2003,2003,239686
268,7,1983,Gd,2,490,Gd,978,1005,Gd,2,1999,1999,1999,225000
269,5,1824,TA,2,484,TA,1824,1824,TA,2,1957,1957,1958,146000
270,5,1037,TA,2,431,TA,1037,1037,Fa,1,1974,1974,1974,129000
271,7,1761,Gd,2,578,Gd,874,874,Gd,3,2007,2007,2007,227875
272,8,1652,Gd,2,499,Ex,1494,1652,Gd,2,2000,2000,2000,251000
273,7,1434,Gd,2,527,Gd,1454,1434,Gd,2,2001,2001,2001,189000
274,7,2036,TA,2,513,TA,2136,2036,Gd,2,1965,1965,1965,375000
275,4,1242,TA,1,336,TA,484,1242,TA,1,1946,1950,1946,109900
276,6,1224,Gd,2,528,Gd,612,612,Gd,2,2009,2009,2009,164500
277,8,1491,Gd,2,490,Gd,1491,1491,Ex,2,2001,2001,2001,209000
278,5,1064,TA,1,318,Fa,864,1064,TA,1,1952,1952,1952,135000
279,7,1654,Gd,3,900,Gd,1654,1654,Gd,2,2002,2002,2002,230000
280,4,1120,TA,2,544,Fa,1040,1120,TA,1,1961,1961,1961,129000
281,4,2290,TA,2,560,TA,777,1246,TA,2,1885,1950,1971,122500
282,7,2037,Gd,2,472,Gd,672,1302,Gd,2,1996,1996,1996,229000
283,7,2172,Gd,3,947,Gd,1063,1071,Ex,2,2006,2006,2006,280000
284,5,1072,TA,2,525,TA,547,1072,Gd,1,2005,2005,2005,145000
285,5,1075,TA,2,440,Gd,981,1075,Gd,1,1963,1963,1996,148000
286,9,2596,TA,3,840,Gd,1249,1249,Ex,3,2006,2006,2006,342643
287,8,1742,Gd,2,424,Gd,916,916,TA,1,1882,1986,1925,168000
288,6,1158,TA,2,576,Gd,1158,1158,Gd,1,2004,2004,2006,158000
289,6,1045,TA,1,264,TA,1045,1045,TA,1,1963,1963,1963,127000
290,8,1502,Gd,2,528,Gd,1488,1502,Gd,1,1985,1985,1985,212000
291,8,1544,Gd,3,868,Gd,1544,1544,Gd,2,2009,2010,2009,290941
292,5,914,TA,2,444,TA,914,914,TA,1,1979,1979,1979,134900
293,8,1566,Gd,1,288,Gd,930,930,TA,2,1900,2003,1930,150000
294,7,1768,TA,2,320,TA,880,880,Gd,1,1914,1970,1914,163000
295,7,1483,Gd,2,690,TA,1420,1483,Gd,1,1977,2001,1977,270000
296,5,1065,TA,2,461,TA,1065,1065,TA,1,1960,1960,1974,126500
297,5,816,TA,1,264,TA,816,816,TA,1,1983,1983,1983,128500
298,7,2840,Gd,4,1314,Gd,1420,1420,Gd,2,1978,1978,1978,292500
299,8,2046,Gd,3,834,Gd,2046,2046,Ex,2,2008,2008,2008,372500
300,6,1395,TA,2,497,TA,723,735,TA,1,1972,1972,1972,162000
301,8,2000,Gd,3,888,Gd,2000,2000,Gd,2,2004,2005,2004,305900
302,6,784,TA,2,360,TA,784,784,Fa,1,1928,1950,1950,76000
303,7,2039,Gd,3,791,TA,929,2039,TA,1,1941,1963,1941,167000
304,6,996,TA,2,564,Gd,936,996,Gd,1,1992,1992,1992,147000
305,4,1005,TA,2,440,TA,1005,1005,TA,1,1964,1964,1964,115400
306,4,992,TA,1,297,TA,530,530,Gd,1,1970,1970,1970,106500
307,7,2646,Gd,3,656,Gd,1347,1372,Gd,2,1993,1993,1993,260000
308,6,2411,TA,2,570,TA,1008,1403,TA,2,1970,1970,1970,240050
309,4,1382,TA,2,459,TA,1051,1382,TA,1,1963,1979,1974,148000
310,6,1671,TA,2,472,TA,959,959,Gd,2,2000,2000,2000,173000
311,7,1857,TA,2,482,TA,945,945,TA,2,1978,1978,1978,188900
312,6,1383,TA,1,292,TA,1383,1383,TA,1,1960,1960,1960,145250
313,7,1786,Gd,2,608,Gd,920,920,Gd,2,2001,2002,2001,223500
314,4,864,TA,1,528,TA,576,864,TA,1,1950,1950,1952,105000
315,2,480,TA,1,308,TA,480,480,TA,0,1949,1950,1958,35311
316,7,1428,Gd,2,554,Ex,1417,1428,Gd,2,2008,2008,2008,227680
317,5,1077,TA,1,338,TA,961,1077,Fa,1,1920,1950,1920,67000
318,7,2554,TA,2,704,TA,718,1576,TA,1,1890,1998,1996,159500
319,7,1929,Gd,2,650,Gd,1057,1057,Gd,2,2001,2001,2001,226000
320,5,990,TA,2,480,TA,990,990,Gd,1,1994,1995,2000,138000
321,5,1475,TA,1,336,TA,757,925,TA,2,1977,1977,1977,127000
322,7,1690,TA,1,225,TA,815,815,TA,1,1916,1950,1916,144000
323,6,1388,TA,1,317,TA,675,686,Gd,1,1977,1977,1977,157500
324,6,1253,TA,1,352,TA,1253,1253,TA,1,1960,1960,1960,157000
325,7,1456,Gd,2,410,Gd,728,728,Gd,2,2005,2005,2005,189000
326,6,1032,TA,1,280,TA,1032,1032,TA,1,1924,1950,1995,108000
327,5,1092,TA,1,320,TA,525,525,TA,1,1971,1971,1997,105500
328,5,2640,TA,3,1008,TA,2171,1392,TA,2,1925,1975,1977,180000
329,7,2090,Gd,2,577,Gd,1190,1190,Gd,2,1984,1984,1984,207500
330,6,1362,TA,2,504,TA,1362,1362,TA,1,1961,1961,1961,163000
331,5,1960,TA,2,400,TA,960,960,TA,2,1952,1952,1952,124500
332,6,1390,TA,2,550,Ex,1705,1390,Gd,1,1957,1957,1957,252000
333,5,936,TA,1,308,TA,936,936,TA,1,1956,2000,1956,129000
334,6,1224,TA,1,280,TA,816,816,TA,1,1948,2004,1950,132000
335,5,1426,TA,1,230,TA,966,1014,TA,1,1930,1992,1930,131750
336,6,1441,TA,2,440,TA,855,855,TA,2,1978,1978,1978,148500
337,6,1326,TA,2,388,Gd,1326,1326,Gd,2,2005,2005,2005,203000
338,7,1270,Gd,2,524,Gd,1270,1270,Gd,2,2005,2006,2005,175900
339,6,1294,TA,2,496,Gd,1278,1294,Gd,2,1991,1991,1991,179200
